src_segmentnr	src_original	tgt_segmentnr	tgt_original
T02dipguhsu:191	 rūpādyaṃ romakūpotthaṃ rūpavajrādiraśmibhiḥ // 92	T02D1911:102a-0	གཟུགས་༄༡༠༢ཨ་༌་༎ ཀྱི་རྡོ་རྗེ་སོགས་འོད་ནི་༎
T02dipguhsu:192	 kūṭāgāraprabhonmuktair gaganāntaḥprasarpibhiḥ /	T02D1911:102a-2	གཞལ་ཡས་ཁང་ནས་བྱུང་ནས་སུ་༎ བར་སྣང་དཀྱིལ་དུ་ཁྱབ་པ་ཡིས་༎
T02dipguhsu:193	 sampūjya svaṃ munīndrāṃś ca pūjyapūjātmako bhavet // 93	T02D1911:102a-4	བདག་དང་ཐུབ་དབང་མཆོད་བྱས་ཏེ་༎ མཆོད་དང་མཆོད་པའི་བདག་ཉིད་འགྱུར་། ཨཨོམ་སརྦ་ཏ་ཐའ་ག་ཏ་པའུ་ཛ་བཛྲ་སབ༹་བྷའ་བ་ཨའཏམ་ཀོ&ཨམཔ༏་ཧམ་། རིགས་གསུམ་རིགས་ལྔ་བརྒྱ་རྣམས་ལ་༎ ཡེ་ཤེས་ལྔ་དང་ཕྱག་རྒྱ་དང་༎ སངས་རྒྱས་བདག་ཉིད་གཟུགས་རྣམས་ཀྱིས་༎
T02dipguhsu:205	 amoghavajra saṃbuddha sarvāśāparipūraka /	T02D1911:102a-21	རྣམ་པར་མི་རྟོག་རྡོ་རྗེ་མཁའ་༎ འདོད་ཆགས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་༎ རྡོ་རྗེ་གསུང་ལ་ཕྱག་འཚལ་བསྟོད་༎ རྡོ་རྗེ་དོན་གྲུབ་རྫོགས་སངས་རྒྱས་༎ བསམ་པ་ཐམས་ཅད་ཡོངས་རྫོགས་པའི་༎
T02dipguhsu:206	 śuddhasvabhāvasaṃbhūta vajrasattva namo 'stu te // 99	T02D1911:102a-26	རང་བཞིན་དག་པ་ཉིད་ལས་བྱུང་༎ རང་བཞིན་དག་པས་གོས་པ་མེད་༎ རྡོ་རྗེ་སེམས་ལ་ཕྱག་འཚལ་བསྟོད་༎
T02dipguhsu:207	 candrārkavāribhaiṣajyagandhaṃ vāyvagnicakragam /	T02D1911:102a-29	ཟླ་བ་ཉི་མ་ཆུ་སྨན་དྲི་༎ རླུང་མེའི་དཀྱིལ་འཁོར་ལ་གནས་པའི་༎
T02dipguhsu:208	 praṇavādhiṣṭhitaṃ sārcis tritattvair abhimantritam // 100	T02D1911:102a-31	འོད་ལྡན་ཕྱག་འཚལ་བྱིན་གྱིས་བརླབ་༎ དེ་ཉིད་གསུམ་གྱི་སྔགས་བཏབ་ནས་༎
T02dipguhsu:209	 hūṃnyastavajrasajjihvo dhyātvā jñānāmṛtair bhṛtam /	T02D1911:102a-33	ལྕེ་ལ་རྡོ་རྗེ་ཧའུམ་བཀོད་དེ་༎ ཡེ་ཤེས་བདུད་རྩི་གང་བསྒོམས་ནས་༎
T02dipguhsu:210	 hṛccandrāntargatāśeṣacakraṃ tena pratarpayet // 101	T02D1911:102a-35	སྙེང་གའི་ཟླ་བའི་དཀྱིལ་གནས་ཀུན་༎ དཀྱིལ་འཁོར་དེ་ཡིས་ཚིམ་པར་བྱ་༎
T02dipguhsu:211	 hṛdraśminirmitair nāthaiḥ svāsatsaṃkalpavarjitaiḥ /  buddhātmakaṃ jagat kṛtvā hṛdbījāntar niveśayet // 102	T02D1911:102a-37	སྙིང་འོད་སྤྲུལ་པ་མགོན་པོ་ཡིས་༎ དབུས་ཀྱི་ཀུན་རྟོག་ཡོངས་སྤངས་ཏེ་༎ འགྲོ་བ་སངས་རྒྱས་ཉིད་བྱས་ནས་༎ ཡེ་ཤེས་ས་བོན་དཀྱིལ་དུ་ཐིམ་༎
