src_segmentnr	src_original	tgt_segmentnr	tgt_original
T02dipguhsu:623	 oṃ vajrasattvaḥ svayaṃ te 'dya hṛdaye samavasthitaḥ /	T02D2244:128a-4	ཨཨོམ་རྡོ་རྗེ་སེམས་དཔའ་དེང་ཁྱོད་ཀྱི་༎ སྙིང་ལ་ཡང་དག་ཞུགས་པ་ནི་༎
T02dipguhsu:624	 nirbhidya tatkṣaṇaṃ yāyād yadi brūyā imaṃ nayam / 294	T02D2244:128a-6	གལ་ཏེ་ཚུལ་འདི་སྨྲས་གྱུར་ན་༎ དེ་མ་ཐག་ཏུ་དྲལ་ཏེ་གཤེགས་༎ འདིས་ནི་མནའ་བསྒག་པར་བྱ་སྟེ་༎
T02dipguhsu:625	 padmasthaṃ tryakṣarojjvalaṃ pāyayed amṛtaṃ pañca //	T02D2244:128a-9	བདུད་རྩི་ལྔ་པདམའི་སྣོད་དུ་ཡང་དག་པར་བཞག་སྟེ་། ཡི་གེ་གསུམ་གྱིས་ཡང་དག་པར་བྱིན་གྱིས་བརླབས་ལ་། ཨཨོམ་བཛྲ་ཨའ་མྲི་ཏོད་ཀ་ཐ་ཞེས་ལན་གསུམ་གྱི་བར་དུ་འདི་བཟླས་ཏེ་།
T02dipguhsu:626	 idaṃ te nārakaṃ vāri samayātikramād dahet /	T02D2244:128a-12	འདི་ནི་ཁྱོད་ཀྱི་དམྱལ་བའི་ཆུ་༎ དམ་ཚིག་ཉམས་ན་སྲེག་པར་བྱེད་༎
T02dipguhsu:627	 samayarakṣaṇāt siddhiḥ piba vajrāmṛtodakam // 295	T02D2244:128a-14	དམ་ཚིག་བསྲུངས་ན་དངོས་གྲུབ་ཐོབ་༎ འཐུངས་ཤིག་རྡོ་རྗེ་བདུད་རྩིའི་ཆུ་༎
T02dipguhsu:628	 oṃ vajrodaka ṭhaḥ //  dṛḍhapratijñam idaṃ vadet //	T02D2244:128a-16	ཞེས་བཀླགས་པ་ནི་དམ་ཚིག་གོ་༎
T02dipguhsu:630	 adya prabhṛti tavāhaṃ vajrapāṇir yad ahaṃ brūyām idaṃ kuru tat tvayā kartavyaṃ na cāham avamantavyo mā te viṣamāparihāreṇa kālakriyāṃ kṛtvā narakapatanaṃ syāt /	T02D2244:128a-17	དེ་ནས་འདི་སྐད་བརྗོད་པར་བྱ་སྟེ་། དེང་ཕན་ཆད་ཁྱོད་ཀྱིས་ཕྱག་ན་རྡོ་རྗེ་ཡིན་གྱིས་༎
T02dipguhsu:795	 oṃ esāhaṃ vyākaromi tvāṃ vajrasattvas tathāgataḥ /	T02D2244:130b-19	དེ་ལ་ལུང་བསྟན་པར་བྱ་བ་ནི་། ཨཨོམ་དེ་རིང་ཁྱོད་ལ་ངས་ལུང་བསྟན་༎ རྡོ་རྗེ་སེམས་དཔའ་དེ་བཞིན་གཤེགས་༎
T02dipguhsu:796	 bhavadurgatitoddhṛtya atyantabhavasiddhaye // 369	T02D2244:130b-22	སྲིད་པ་ཤིན་ཏུ་དག་པས་ན་༎ སྲིད་དང་ངན་འགྲོ་དག་ལས་བཏོན་༎
T02dipguhsu:798	 vyākriyate 'nayā yas tu mantrī sarvajagatpatiḥ /	T02D2244:130b-26	བྷུར་བྷུ་བ་སབ༹་ཞེས་པས་ལུང་བསྟན་པ་གོང་གི་ཚིགས་སུ་བཅད་པ་དང་ཕྱག་རྒྱ་འདི་དག་གིས་ལུང་བསྟན་པར་བྱ་སྟེ་།
T02dipguhsu:815	 dṛṣṭvā praviṣṭvā paramaṃ rahasyottamamaṇḍalam /	T02D2244:130b-33	གསང་ཆེན་མཆོག་གི་དཀྱིལ་འཁོར་དུ་༎ བཅུག་པ་དང་ནི་མཐོང་བ་ཡིས་༎
T02dipguhsu:816	 sarvapāpair vinirmuktā bhavanto 'dyaiva susthitāḥ // 378	T02D2244:130b-35	སྡིག་པ་ཀུན་ལས་རྣམ་གྲོལ་ཏེ་༎ དེ་རིང་ཁྱོད་ནི་བདེ་བར་གནས་༎
T02dipguhsu:817	 na bhūyo maraṇaṃ vo 'sti yānād asmān mahāsukhāt /	T02D2244:130b-37	བདེ་ཆེན་ཐེག་པ་འདི་ལ་ནི་༎ ཕྱིན་ཆད་འཆི་བ་ཡོད་མིན་བས་༎
T02dipguhsu:818	 adhṛṣyāś cāpy abaddhāś ca ramadhvam akutobhayāḥ // 379  nivṛttaṃ bhavaduḥkhaṃ vo 'tyantabhavaśuddhaye /  saṃbhūtāḥ śāsinām agrā atyantabhavasiddhaye // 380  ayaṃ vaḥ satataṃ rakṣyaḥ siddhaḥ samayasaṃvaraḥ /  sarvabuddhaiḥ samaṃ proktā ājñā paramaśāśvatī // 381	T02D2244:130b-39	སྲིད་བ་ཤིན་ཏུ་དག་པས་ན་༎ སྲིད་བའི་༄༡༣༡ཨ་༌་༎ སྡུག་བསྔལ་བཏོན་པའོ་༎
T02dipguhsu:823	 bodhicittaṃ na vai tyājyaṃ yad vajram iti mudrayā /	T02D2244:131a-2	རྡོ་རྗེ་ཞེས་བྱའི་ཕྱག་རྒྱ་དང་༎ བྱང་ཆུབ་སེམས་ནི་སྤང་མི་བྱ་༎
T02dipguhsu:824	 yasyotpādanamātreṇa buddha eva na saṃśayaḥ // 382	T02D2244:131a-3	གང་ཞིག་སྐྱེས་པ་ཙམ་གྱིས་ནི་༎ སངས་རྒྱས་ཉིད་དུ་ཐེ་ཚོམ་མེད་༎
T02dipguhsu:825	 saddharmo na pratikṣepyo na ca tyājyaḥ kadācana /	T02D2244:131a-5	དམ་པའི་ཆོས་ནི་མི་སྤང་ཞིང་༎ ནམ་ཡང་སྤང་བར་མི་བྱའོ་༎
T02dipguhsu:826	 ajñānād vātha mohād vā na vai vivṛṇuyāt sa tu // 383	T02D2244:131a-7	མི་ཤེས་པའམ་རྨོངས་པ་ལ་༎ དེ་ནི་བསྟན་པར་མི་བྱའོ་༎
