src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10ayuhparu:137	 Āps 18. yāni bhikṣavo manuṣyāṇāṃ paṃcāśad varṣāṇi tac cāturmahārājikānāṃ devānām ekaṃ rātriṃdivasaṃ,  tena rātriṃdivasena triṃśad rātrakena (GBM 1702.4)  māsena, dvādaśa māsakena saṃvatsareṇa,	K10D0099_H0102:114b-8	དུས་མ་ཡིན་པར་འཆི་བའང་ཡོད་། མི་རྣམས་ཀྱི་ལོ་ལྔ་བཅུ་གང་ཡིན་པ་དེ་དང་དེ་ནི་། རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་ཀྱི་ཉིན་ཞག་གཅིག་གོ་།
K10ayuhparu:140	 tayā saṃvatsaragaṇanayā divyāni paṃca varṣaśatāni cāturmahārājikānāṃ devānām āyuṣaḥ pramāṇaṃ. (GBM 1702.5)	K10D0099_H0102:114b-11	ཉིན་ཞག་གི་ཚད་ནི་། དེས་ཉི་མ་བཅོ་ལྔ་ལ་ཟླ་བ་ཕྱེད་དོ་༎
K10ayuhparu:141	 tad bhavati mānuṣikayā gaṇanayā navati varṣaśatasahasrāṇy āyuṣaḥ pramāṇam,  asty antareṇa kālakriyā.  dvādaśa māsakena saṃvatsareṇa,  tayā saṃvatsaragaṇanayā paṃca varṣaśatāni saṃjīve mahānarake nārakāṇāṃ (GBM 1702.7)  satvānām āyuṣaḥ pramāṇaṃ. tad bhavati māṇuṣikayā gaṇanayā. ekaṃ varṣakoṭīśatasahasraṃ dvāṣaṣṭīṇi ca varṣakoṭīsahasrāṇy āyuṣaḥ pramāṇam,  asty antareṇa (GBM 1703.1) kālakriyā.	K10D0099_H0102:114b-13	ཉི་མ་སུམ་ཅུ་ལ་ཟླ་བ་གཅིག་གོ་། ཟླ་བ་བཅུ་གཉིས་ལ་ལོ་གཅིག་གོ་།
K10ayuhparu:151	 X X X X ^ _ _ X X X X X ^ _ ^ X // 28  varṣakoṭīsahasrāṇi saṃjīvanti hatā hatāḥ // 29	K10D0099_H0102:114b-15	རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་ཀྱི་ཚེའི་ཚད་ནི་། ལོ་ལྔ་བརྒྱ་སྟེ་།
K10ayuhparu:158	 manuṣyāṇāṃ varṣaśataṃ tad devāṇāṃ trayastriṃśānām ekaṃ rātriṃdivasaṃ,	K10D0099_H0102:114b-18	མི་རྣམས་ཀྱི་ལོ་བརྒྱ་པ་དེ་ནི༏་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷ་རྣམས་ཀྱི་ཉིན་ཞག་གཅིག་སྟེ་།
K10ayuhparu:159	 tena rātriṃdivasena triṃśad rātrakeṇa māsena,  dvādaśa māsakena saṃvatsareṇa,  tayā saṃvatsaragaṇanayā (GBM 1703.4)  divyaṃ varṣasahasraṃ devānām trayastriṃśānām āyuṣaḥ pramāṇaṃ. tad bhavati mānuṣikayā gaṇanayā tisro varṣakoṭyaḥ ṣaṣṭiś ca varṣaśatasahasrāṇy (GBM 1703.5)	K10D0099_H0102:114b-19	ཉིན་ཞག་གི་ཚད་དེས་ཟླ་བ་བཅུ་གཉིས་ལ་ལོ་གཅིག་གོ་། སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷ་རྣམས་ཀྱི་ཚེའི་ཚད་ནི་།
K10ayuhparu:163	 āyuṣaḥ pramāṇam,  asty antareṇa kālakriyā.	K10D0099_H0102:114b-21	ལོ་སྟོང་སྟེ༏་དུས་མ་ཡིན་པར་མཆི་བའང་ཡོད་།
K10ayuhparu:313	 Āps 45. brahmakāyikānāṃ bhikṣavo devānām ardhakalpa āyuṣaḥ pramāṇam, (GBM 1701.5)	K10D0099_H0102:114b-8	དུས་མ་ཡིན་པར་འཆི་བའང་ཡོད་། མི་རྣམས་ཀྱི་ལོ་ལྔ་བཅུ་གང་ཡིན་པ་དེ་དང་དེ་ནི་། རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་ཀྱི་ཉིན་ཞག་གཅིག་གོ་། ཉིན་ཞག་གི་ཚད་ནི་། དེས་ཉི་མ་བཅོ་ལྔ་ལ་ཟླ་བ་ཕྱེད་དོ་༎ ཉི་མ་སུམ་ཅུ་ལ་ཟླ་བ་གཅིག་གོ་། ཟླ་བ་བཅུ་གཉིས་ལ་ལོ་གཅིག་གོ་། རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་ཀྱི་ཚེའི་ཚད་ནི་། ལོ་ལྔ་བརྒྱ་སྟེ་།
K10ayuhparu:314	 asty antareṇa kālakriyā.	K10D0099_H0102:114b-17	དུས་མ་ཡིན་པར་འཆི་བའང་ཡོད་།
K10ayuhparu:315	 Āps 46. brahmapurohitānāṃ bhikṣavo devānāṃ kalpa āyuṣaḥ pramāṇam,	K10D0099_H0102:114b-18	མི་རྣམས་ཀྱི་ལོ་བརྒྱ་པ་དེ་ནི༏་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷ་རྣམས་ཀྱི་ཉིན་ཞག་གཅིག་སྟེ་། ཉིན་ཞག་གི་ཚད་དེས་ཟླ་བ་བཅུ་གཉིས་ལ་ལོ་གཅིག་གོ་། སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷ་རྣམས་ཀྱི་ཚེའི་ཚད་ནི་།
