src_segmentnr	src_original	tgt_segmentnr	tgt_original
T07yabhkvyu:32140	 tathā hi śāstra uktaṃ.  dharmajñānaṃ katamat.  kāmapratisaṃyukteṣu saṃskāreṣu yad anāsravaṃ jñānaṃ.  kāmapratisaṃyuktānāṃ (Abhidh-k-vy 617) saṃskārāṇāṃ hetau yad anāsravaṃ jñānaṃ.  kāmapratisaṃyuktānāṃ saṃskārāṇāṃ nirodhe yad anāsravaṃ jñānaṃ kāmapratisaṃyuktānāṃ saṃskārāṇāṃ prahāṇāya mārge yad anāsravaṃ jñānaṃ.	T26n1541_001:0628b11_8	謂知欲界繫行苦無漏智、知欲界繫行因無漏智、知欲界繫行滅無漏智、知斷欲界繫行道無漏智。
T07yabhkvyu:32145	 idam ucyate dharmajñānam.  api khalu dharmajñāne dharmajñānabhūmau ca yad anāsravaṃ.	T26n1541_001:0628b12_3	復次法智亦緣法智地無漏智。
T07yabhkvyu:32147	 idam ucyate dharmajñānam.	T26n1541_001:0628b12_8	是名法智。
T07yabhkvyu:32148	 anvayajñānaṃ katamat.	T26n1541_001:0628b13_4	云何比智？
T07yabhkvyu:32149	 rūpārūpyapratisaṃyukteṣu saṃskāreṣu yad anāsravaṃ jñānam.  rūpārūpyapratisaṃyuktānāṃ saṃskārāṇāṃ nirodhe yad anāsravaṃ jñānaṃ.  rūpārūpyapratisaṃyuktānāṃ saṃskārāṇāṃ prahāṇāya mārge yad anāsravaṃ jñānam.  idam ucyate anvayajñānaṃ.	T26n1541_001:0628b15_17	謂知色無色界繫行苦無漏智、知色無色界繫行因無漏智、知色無色界繫行滅無漏智、知斷色無色界繫行道無漏智。
T07yabhkvyu:32154	 api khalv anvayajñāne anvayajñānabhūmau ca yad anāsravaṃ jñānam.	T26n1541_001:0628b16_11	復次比智亦緣比智地無漏智。
T07yabhkvyu:32155	 idam ucyate 'nvayajñānam iti.	T26n1541_001:0628b16_16	是名比智。
T07yabhkvyu:32159	 duḥkhajñānaṃ katamat.	T26n1541_001:0628b21_4	云何苦智？
T07yabhkvyu:32160	 paṃcopādānaskaṃdhān anityato duḥkhataḥ śunyato 'nātmataś ca manasikurvato yad anāsravaṃ jñānaṃ.  idam ucyate duḥkhajñānaṃ.	T26n1541_001:0628b22_7	謂無漏智，思惟五受陰無常、苦、空、非我，是名苦智。
T07yabhkvyu:32162	 samudayajñānaṃ katamat.	T26n1541_001:0628b23_4	云何集智？
