src_segmentnr	src_original	tgt_segmentnr	tgt_original
T06asabhs_u:144	 animittasaṃjñā katamā /	T06D4038-1:38a-18	འདུ་ཤེས་གང་ཞེ་ན་།
T06asabhs_u:146	 parīttā saṃjñā katamā /  yayā kāmadhātuṃ saṃjānāti //	T06D4038-1:38b-0	དེ་༄༣༨བ་ལ་ཆུང་ངུའི་འདུ་ཤེས་ནི་འདོད་པ་ན་སྤྱོད་པའིའོ་༎
T06asabhs_u:148	 mahagdatā saṃjñā katamā /  yayā rūpadhātuṃ saṃjānāti //	T06D4038-1:38b-1	ཆེན་པོར་གྱུར་པའི་འདུ་ཤེས་ནི་གཟུགས་ན་སྤྱོད་པའིའོ་༎
T06asabhs_u:150	 apramāṇasaṃjñā katamā /  yayā ākāśāna ntyāyatanaṃ vijñānānantyāyatanaṃ saṃjānāti //  akiñcana saṃjñā katamā /	T06D4038-1:38b-2	ཚད་མེད་པའི་འདུ་ཤེས་ནི་ནམ་མཁའ་དང་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ན་སྤྱོད་པའིའོ་༎ ཅི་ཡང་མེད་པའི་འདུ་ཤེས་ནི་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ན་སྤྱོད་པའི་སྟེ་།
T06asabhs_u:389	 nāmakāyāḥ katame /	T06D4038-1:24a-16	དེ་ལ་མིང་གི་ཚོགས་རྣམས་གང་ཞེ་ན་།
T06asabhs_u:390	 dharmāṇāṃ svabhāvādhivacane nāmakāyā iti prajñaptiḥ //	T06D4038-1:24a-17	ཆོས་རྣམས་ཀྱི་ངོ་བོ་ཉིད་དུ་འདོགས་པ་དང་། རང་གི་མཚན་ཉིད་དུ་འདོགས་པ་ལས་བརྩམས་ཏེ་༏་རྗེས་སུ་ཐ་སྙད་གདགས་པའི་ཕྱིར་ཡོངས་སུ་བརྟག་པ་ཉེ་བར་བཟུང་ནས་མིང་ཙམ་དུ་རྣམ་པར་འཇོག་པ་གང་ཡིན་པ་དེ་དག་ནི་མིང་གི་ཚོགས་རྣམས་ཞེས་བྱའོ་༎
T06asabhs_u:391	 padakāyāḥ katame /	T06D4038-1:24a-19	ཚིག་གི་ཚོགས་རྣམས་གང་ཞེ་ན་།
T06asabhs_u:392	 dharmāṇāṃ viśeṣādhivacane padakāyā iti prajñaptiḥ //	T06D4038-1:24a-20	རང་གི་མཚན་ཉིད་དུ་བཏགས་པའི་ཆོས་དེ་དག་ཉིད་ཀྱིས་བྱེ་བྲག་ཏུ་འདོགས་པ་ལས་བརྩམས་ཏེ་། ཡོན་ཏན་དང་སྐྱོན་དང་། ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བའི་སྤྲོས་པ་རྣམ་པར་འཇོག་པ་ནི་ཚིག་གི་ཚོགས་རྣམས་ཞེས་བྱའོ་༎
T06asabhs_u:393	 vyañjanakāyāḥ katameḥ tadubhayāśrayeṣvakṣareṣu vyañjanakāyā iti prajñaptiḥ /	T06D4038-1:24a-22	ཡི་གེའི་ཚོགས་རྣམས་གང་ཞེ་ན་། མིང་གི་ཚོགས་དང་། ཚིག་གི་ཚོགས་ཀྱི་བརྟེན་གྱི་དངོས་པོར་ཡི་གེའི་འབྲུའི་ཚོགས་རྣམས་ནི་ཡི་གེའི་ཚོགས་རྣམས་ཞེས་བྱ་སྟེ་།
T06asabhs_u:395	 varṇo 'pi saḥ /  arthasaṃvarṇanatāmupādāya /  akṣare punaḥ paryāyākṣaraṇatāmupādāya //  pṛthagjanatvaṃ katamat /	T06D4038-1:24a-25	ཐམས་ཅད་ལས་བསྡུས་པ་ནི་ཡི་གེའོ་༎ འབྲིང་ནི་མིང་ངོ་༎ རྒྱས་པ་ནི་ཚིག་གོ་༎ ཡི་གེ་ཙམ་ལ་བརྟེན་ནས་ནི་སྒྲ་ཙམ་སོ་སོར་རིག་པར་འགྱུར་གྱི་དོན་ནི་འགའ་ཡང་སོ་སོར་རིག་པར་མི་འགྱུར་རོ་༎
T06asabhs_u:400	 pravṛttiḥ katamā /	T06D4038-1:24b-4	དེ་ལ་འཇུག་པ་གང་ཞེ་ན་།
