src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10D0119_H0368:141a-1	དགའ་སྐྱེད་ཀྱི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལ་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812a24_9	二熙連河沙佛所發菩提心。
K10D0119_H0368:141a-11	སེམས་ཅན་གང་ཞིག་ཀླུང་གངགའ་གཉིས་ཀྱི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལ་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812a27_16	三一恒河沙佛所發心。
K10D0119_H0368:141a-12	དེས་ནི་དུས་ངན་པའི་ཚེ་། ཆོས་འདི་ལ་མི་སྐུར་ཏེ་། དད་ཅིང་མོས་པ་དང་འཆང་ཞིང་འཛིན་པ་དང་། ཀློག་པ་དང་འདོན་པར་འགྱུར་ཏེ་།	T44n1851_17b:0812a28_10	於惡世中愛樂正法不謗同前。 其恒河者是此江河故。
K10D0119_H0368:141a-2	དེས་ནི་དུས་ངན་པའི་ཚེ་། མདོ་སྡེ་འདི་འཆང་བ་དང་། འཛིན་པར་འགྱུར་ཏེ་། སྐུར་པ་མི་འདེབས་སོ་༎ རིགས་ཀྱི་བུ་།	T44n1851_17b:0812a24_18	能於惡世不謗正法。 熙連河者於彼恒河四眷屬中一種河也。
K10D0119_H0368:141a-21	སེམས་ཅན་གང་ཞིག་ཆུ་ཀླུང་གངགའ་བཞིའི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལས་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812b01_6	於此河中一沙一佛爾許佛所發心。
K10D0119_H0368:141a-22	དེས་ནི་དུས་ངན་པའི་ཚེ་ན་ཆོས་འདི་ལ་མི་སྐུར་ཏེ་། འཆང་བ་དང་། འཛིན་པ་དང་། ཀློག་པ་དང་། འདོན་པ་༄༡༤༡བ་དང་། གླེགས་བམ་དུ་འདྲི་བར་འགྱུར་ཏེ་།	T44n1851_17b:0812b01_15	方能惡世愛樂大乘。 聞此不謗。
K10D0119_H0368:141a-6	སེམས་ཅན་གང་ཞིག་ཀླུང་གངགའའི་གཅིག་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལས་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812a26_15	於此河中一沙一佛爾許佛所發菩提心。
K10D0119_H0368:141a-7	དེས་ནི་དུས་ངན་པའི་ཚེ་། ཆོས་འདི་ལ་མི་སྐུར་ཅིང་མདོ་སྡེ་འདི་ལ་མོས་པར་འགྱུར་ཏེ་། གཞན་ལ་རྣམ་པར་འབྱེད་ཅིང་སྟོན་ནི་མི་ནུས་སོ་༎ རིགས་ཀྱི་བུ་།	T44n1851_17b:0812a27_6	方能惡世不謗正法。
K10D0119_H0368:141b-2	སྟོན་ཅིང་འཆད་མོད་ཀྱི་དེའང་རྫོགས་པར་ཤེས་པ་ནི་མ་ཡིན་ནོ་༎	T44n1851_17b:0812b03_13	讀誦受持未能解說。
K10D0119_H0368:141b-3	སེམས་ཅན་གང་ཞིག་ཀླུང་གངགའ་ལྔའི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལས་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812b04_7	第五人者於三恒河佛所發心。
K10D0119_H0368:141b-4	དེས་ནི་དུས་ངན་པའི་ཚེ་ན་ཆོས་འདི་ལ་མི་སྐུར་ཏེ་།	T44n1851_17b:0812b04_16	於惡世中愛樂大乘。
K10D0119_H0368:141b-5	འཆང་བ་དང་། འཛིན་པ་དང་། ཀློག་པ་དང་། འདོན་པ་དང་། གླེགས་བམ་དུ་འདྲི་བ་དང་། གཞན་ལའང་དོན་ཟབ་མོ་བཅུ་དྲུག་ཆའི་ཆ་བརྒྱད་སྟོན་ནུས་པར་འགྱུར་རོ་༎	T44n1851_17b:0812b05_10	讀誦受持少為他說未解深義。
K10D0119_H0368:141b-6	སེམས་ཅན་གང་ཞིག་ཀླུང་གངགའ་དྲུག་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ལས་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ན་།	T44n1851_17b:0812b06_5	第六人者四恒佛所發菩提心。
K10D0119_H0368:141b-7	དེས་ནི་དུས་ངན་པའི་ཚེ་ན་ཆོས་འདི་ལ་མི་སྐུར་ཏེ་།	T44n1851_17b:0812b06_14	於惡世中愛樂大乘。
K10D0119_H0368:141b-8	འཆང་བ་དང་། འཛིན་པ་དང་། ཀློག་པ་དང་། འདོན་པ་དང་། གླེགས་བམ་དུ་འདྲི་བ་དང་། གཞན་ལའང་བཅུ་དྲུག་ཆའི་ཆ་བཅུ་གཉིས་སྟོན་ནུས་པར་འགྱུར་རོ་༎	T44n1851_17b:0812b07_4	受持讀誦為他演說。
