src_segmentnr	src_original	tgt_segmentnr	tgt_original
K03psp_6-8u:1872	 skandhaśūnyatā veditavyā,	K02D0008-10_H0009-10:231a-10	ངོ་བོ་ཉིད་སྟོང་པ་ཉིད་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ དངོས་པོ་མེད་པའི་ངོ་བོ་ཉིད་སྟོང་པ་ཉིད་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ དྲན་པ་ཉེ་བར་བཞག་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ ཡང་དག་པར་སྤོང་བ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1873	 dhātuśūnyatā veditavyā,  āyatanaśūnyatā veditavyā,  pratītyasamutpādaśūnyatā veditavyā,  pratītyasamutpādāṅgaśūnyatā veditavyā,	K02D0008-10_H0009-10:231a-14	རྫུ་འཕྲུལ་གྱི་རྐང་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ དབང་པོ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ སྟོབས་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ བྱང་ཆུབ་ཀྱི་ཡན་ལག་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1877	 ātmaśūnyatā sattvaśūnyatā jīvaśūnyatā jantuśūnyatā poṣaśūnyatā puruṣaśūnyatā pudgalaśūnyatā  manujaśūnyatā mānavaśūnyatā kārakaśūnyatā vedakaśūnyatā jānakaśūnyatā paśyakaśūnyatā	K02D0008-10_H0009-10:231a-18	འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ འཕགས་པའི་བདེན་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ བསམ་༄༢༣༡བ་གཏན་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1879	 veditvyā. apramāṇadhyānārūpyasamādhisamāpattiśūnyatā veditavyā,	K02D0008-10_H0009-10:231b-1	ཚད་མེད་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ༏་༏རྣམ་པར་ཐར་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1880	 smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgaśūnyatā veditavyā. śūnyatānimittāpraṇihitaśūnyatā veditavyā,	K02D0008-10_H0009-10:231b-3	མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ རྣམ་པར་ཐར་པའི་སྒོ་སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ མངོན་པར་ཤེས་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1881	 aṣṭavimokṣamukhaśūnyatā veditavyā,  navānupūrvavihārasamāpattiśūnyatā veditavyā,	K02D0008-10_H0009-10:231b-6	ཏིང་ངེ་འཛིན་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎ གཟུངས་ཀྱི་སྒོ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1883	 daśatathāgatabalaśūnyatā veditavyā,	K02D0008-10_H0009-10:231b-8	དེ་བཞིན་གཤེགས་པའི་སྟོབས་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1884	 vaiśāradyapratisaṃvidāveṇikā buddhadharmaśūnyatā veditavyā,	K02D0008-10_H0009-10:231b-9	མི་འཇིགས་པ་རྣམས་སྟོང་ཞེས་བྱ་བར་བརྟག་པར་བྱའོ་༎
K03psp_6-8u:1307	 kāṃścit prathame dhyāne,	K02D0008-10_H0009-10:145a-4	བསམ་གཏན་དང་པོ་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1308	 kāṃścid dvitīye,	K02D0008-10_H0009-10:145a-5	བསམ་གཏན་གཉིས་པ་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1309	 kāṃścit tṛtīye,	K02D0008-10_H0009-10:145a-6	བསམ་གཏན་གསུམ་པ་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1310	 kāṃścic caturthe dhyāne,	K02D0008-10_H0009-10:145a-7	བསམ་གཏན་བཞི་པ་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1311	 kāṃścid ākāśānantyāyatane,	K02D0008-10_H0009-10:145a-8	བྱམས་པ་ལ་སྙོམས་པར་འཇུག་གོ་། སྙིང་རྗེ་ལ་སྙོམས་པར་འཇུག་གོ་། དགའ་བ་ལ་སྙོམས་པར་འཇུག་གོ་། བཏང་སྙོམས་ལ་སྙོམས་པར་འཇུག་གོ་། ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1312	 kāṃścid vijñānānantyāyatane,  kāṃścid ākiñcanyāyatane,	K02D0008-10_H0009-10:145a-13	རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་སྙོམས་པར་འཇུག་གོ་༏ཅུང་ཟད་མེད་པའི་སྐྱེ་མཆེད་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1314	 kāṃścin naivasaṃjñānāsaṃjñāyatane,	K02D0008-10_H0009-10:145a-14	འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:1327	 kāṃścic caturṣu saṃgrahavastuṣu,  kāṃścic caturṣu smṛtyupasthāneṣu,  kāṃścic caturṣu samyakprahāṇeṣu,  kāṃścic caturṣv ṛddhipādeṣu,	K02D0008-10_H0009-10:145a-17	དྲན་པ་ཉེ་བར་བཞག་པ་བཞི་ལ་སྙོམས་པར་འཇུག་གོ་། ཡང་དག་༄༡༤༥བ་པར་སྤོང་བ་བཞི་ལ་སྙོམས་པར་འཇུག་གོ་།
K03psp_6-8u:2250	 rūpadhātū rūpadhātusvabhāvena śūnyaḥ,	K02D0008-10_H0009-10:56b-20	གཟུགས་ནི་གཟུགས་ཀྱི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎ སྒྲ་ནི་སྒྲའི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎
K03psp_6-8u:2251	 evaṃ śabdagandharasaspraṣṭavyadhātavaḥ,  dharmadhātur dharmadhātusvabhāvena śūnyaḥ,	K02D0008-10_H0009-10:56b-22	དྲི་ནི་དྲིའི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎ རོ་ནི་རོའི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎ རེག་ནི་རེག་གི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎ ཆོས་ནི་ཆོས་ཀྱི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎
K03psp_6-8u:2253	 cakṣurdhātuś cakṣurdhātusvabhāvena śūnyaḥ,	K02D0008-10_H0009-10:56b-26	མིག་གི་རྣམ་པར་ཤེས་པ་ནི་མིག་གི་རྣམ་པར་ཤེས་པའི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎
K03psp_6-8u:2255	 manodhātur manodhātusvabhāvena śūnyaḥ,	K02D0008-10_H0009-10:57a-4	ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་ནི་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའི་རང་བཞིན་གྱིས་སྟོང་ངོ་༎
