src_segmentnr	src_original	tgt_segmentnr	tgt_original
K03pspdut2u:8827	 sarvadharmaśūnyātā apy āyuṣman pūrṇa abaddhā amuktāḥ/	K02D0008-6_H0009-6:458b-1	ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་ནི་། མ་བཅིངས་མ་གྲོལ་བ་སྟེ་།
K03pspdut2u:8828	 tat kasya hetoḥ/	K02D0008-6_H0009-6:458b-3	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།
K03pspdut2u:8831	 svalakṣaṇaśūnyātā apy āyuṣman pūrṇa abaddhā amuktāḥ/	K02D0008-6_H0009-6:458b-6	རབ་འབྱོར་། རང་གི་མཚན་ཉིད་སྟོང་པ་ཉིད་ནི་། མ་བཅིངས་མ་གྲོལ་བ་སྟེ་།
K03pspdut2u:8832	 tat kasya hetoḥ/	K02D0008-6_H0009-6:458b-8	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།
K03pspdut2u:8835	 anupalambhaśūnyātā apy āyuṣman pūrṇa abaddhā amuktāḥ/	K02D0008-6_H0009-6:458b-11	རབ་འབྱོར་། མི་དམིགས་པ་སྟོང་པ་ཉིད་ནི་། མ་བཅིངས་མ་གྲོལ་བ་སྟེ་།
K03pspdut2u:7201	 spraṣṭavyam anityam iti deśayiṣyāti upalambhayogena/	K02D0008-6_H0009-6:38b-32	རེག་མི་རྟག་གོ་། ཞེས་བྱ་བར་སྟོན་། རེག་སྡུག་བསྔལ་ལོ་༎ ཞེས་བྱ་༄༣༩ཨ་༌༎ བར་སྟོན་། རེག་བདག་མེད་དོ་། ཞེས་བྱ་བར་སྟོན་། རེག་མི་སྡུག་གོ་། ཞེས་བྱ་བར་སྟོན་ཅིང་། འདི་སྐད་དུ་གང་དེ་ལྟར་སྤྱོད་པ་ནི་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་སྤྱོད་དོ་༎
K03pspdut2u:7202	 spraṣṭavyaṃ duḥkham anātmakaṃ śāntaṃ viviktaṃ śūnyam animittam apraṇihitam iti deśayiśyati upalambhayogena/	K02D0008-6_H0009-6:39a-8	སུ་ལ་བསྟན་པ་དེ་དག་ཀྱང་རེག་མི་རྟག་ཅེས་བྱ་བར་རྟོག་པར་འགྱུར་རོ་༎ རེག་སྡུག་བསྔལ་ཞེས་བྱ་བར་རྟོག་པར་འགྱུར་རོ་༎ རེག་བདག་མེད་ཅེས་བྱ་བར་རྟོག་པར་འགྱུར་རོ་༎ རེག་མི་སྡུག་ཅེས་བྱ་བར་རྟོག་པར་འགྱུར་རོ་༎
K03pspdut2u:7204	 dharmo duḥkho 'nātmakaḥ śānta viviktaḥ śūnyo 'nimitto 'praṇihita iti deśayiśyati upalambhayogena/	K02D0008-6_H0009-6:39a-20	ཆོས་སྡུག་བསྔལ་ལོ་༎ ཞེས་བྱ་བར་སྟོན་། ཆོས་བདག་མེད་དོ་༎ ཞེས་བྱ་བར་སྟོན་། ཆོས་མི་སྡུག་གོ་། ཞེས་བྱ་བར་སྟོན་ཅིང་།
K03pspdut2u:7206	 cakṣurvijñānaṃ duḥkham anātmakaṃ śāntaṃ viviktaṃ śūnyam animittam apraṇihitam iti deśayiśyati upalambhayogena/	K02D0008-6_H0009-6:39a-32	དེ་ལྟར་དེ་དག་ཆོས་མི་རྟག་གོ་། ཞེས་བྱ་བར་རྟོག་པ་དང་། ༄༣༩བ་ཆོས་སྡུག་བསྔལ་ལོ་༎ ཞེས་བྱ་བར་རྟོག་པ་དང་། ཆོས་བདག་མེད་དོ་༎ ཞེས་བྱ་བར་རྟོག་པས་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གཟུགས་བརྙན་ལ་སྤྱོད་པར་འགྱུར་རོ་༎
K03pspdut2u:7207	 śrotravijñānam anityam iti deśayiṣyāti upalambhayogena/	K02D0008-6_H0009-6:39b-5	མིག་གི་རྣམ་པར་ཤེས་པ་མི་རྟག་གོ་། ཞེས་བྱ་བར་སྟོན་།
