src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10divav33u:2134	 p.119.4cd/.vyavahārāṃś ca kurvīran nirbhayās tatra vāṇijāḥ/	T14D4321:45a-10	། ཚོང་པ་ཡང་དེའི་ཚེ་ཀུན་དུ་སོང་ཡང་འཇིགས་པ་མེད་དོ་༎
K10divav33u:2135	 p.119.4ef/.sarveṣāṃ bhūmi^kampānāṃ praśastā;  indrakaṃpitāḥ//  p.119.5ab/.vepitāyāṃ tu medinyāṃ bhaved rūpam anantaraṃ/  p.119.5cd/.saptāhābhyantare tatra meghaḥ saṃcchādayen nabhaḥ//	T14D4321:45a-11	ཡང་ས་ག-ཡོས་པའི་རྗེས་ལ་ཞག་བདུན་ཚུན་ཆད་དུ་ནམ་མཁའ་ལ་སྤྲིན་གྱིས་ཁེབས་ཏེ་།
K10divav33u:2139	 p.120.1ab/.tato +anubaddhā jāyante;  abhrāḥ kauśeyasannibhāḥ/	T14D4321:45a-12	ཐར་ཆགས་སུ་སྤྲིན་བལ་ལྟར་དལ་སྙོམས་སོང་ལ་།
K10divav33u:2147	 p.120.4cd/.sthāpyante tatra bījāni nimne naśyanti vai tadā//  p.120.5ab/.pañkeṇa^api jalena^api naśyeyū rajasā^api vā/	T14D4321:45a-15	ཐང་བུ་དང་། རི་ངོས་དང་། ཞིང་དང་། མཚོ་འགྲམ་དང་། དེ་དག་ཏུ་ས་བོན་ཐོབ་ཤིག་དང་། ས་དམའ་བ་དང་། ཧ་ཅང་ཆུ་ཆེ་བའི་ས་དང་། འདམ་རྫབ་ཅན་དུ་བཏབ་ན་ནི་མ་རུང་བར་འགྱུར་རོ་༎
K10divav33u:2149	 p.120.5cd/.eteṣāṃ bhūmi^kampānāṃ praśastā jalakampitāḥ//	T14D4321:45a-16	ཚུལ་དེ་ལྟ་བུར་ས་ག-ཡོས་པ་ནི་བཀྲ་ཤིས་ཏེ་ཆུའི་ས་ག-ཡོས་པ་ཞེས་བྱའོ་༎
K10divav33u:2150	 p.120.6ab/.vepitāyāṃ tu medinyāṃ bhaved rūpam anantaraṃ/  p.120.6cd/.saptāhābhyantare tatra vātā vānti sudāruṇāḥ//	T14D4321:45b-0	ཡང་ས་ག-ཡོས་པའི་རྗེས་ལ་ཞག་བདུན་༄༤༥བ་ཚུན་ཆད་དུ་རླུང་དྲག་པོ་ལངས་ལ་།
K10divav33u:2152	 p.120.7ab/.dṛśyate kapilā sandhyā candra^sūryau tu lohitāu/  p.120.7cd/.lakṣaṇaṃ tādṛśaṃ dṛṣṭvā jānīyād vāyukampitān//	T14D4321:45b-1	ནང་པར་དང་ནུབ་ཀར་ཉི་མ་དང་ཟླ་བ་དམར་སེར་དུ་སྣང་བ་དེ་ལྟ་བུའི་མཚན་མ་སྣང་བར་མཐོང་ན་དེ་ནི་རླུང་གི་ས་ག-ཡོས་པ་ཞེས་བྱ་སྟེ་།
K10divav33u:2154	 p.121.1ab/.tato bhavati nirdeśo maharṣer vacanaṃ yathā/  p.121.1cd/.na tatra pravaset prājña;	T14D4321:45b-2	དེའི་ཕན་གནོད་ཀྱི་འབྲས་བུ་བསྟན་པ་ཉོན་ཅིག་། དེའི་ཚེ་ཤེས་རབ་ཅན་བདག་གར་ཡང་མི་འགྲོ་བར་གོ་སྟེ་།
K10divav33u:2156	 ātmānaṃ ca^atra gopayet//  p.121.2ab/.guhyam āvaraṇaṃ kuryāt prākāraparikhāṃ khanet/	T14D4321:45b-3	འདུག་ལ་མཚོན་ཆ་བསྐྱབ་པའི་གཅན་རྩིག་པ་དང་། འོབས་བརྐོ་བ་གྱིས་ཤིག་། རྒྱལ་པོ་ཕ་རོལ་པོ་དང་། མཚམས་གཅིག་ཏུ་འདུག་པ་དང་རྩོད་པར་འགྱུར་ཏེ་། སྐྱེ་བོ་ལ་འཇིགས་པ་འབྱུང་བར་འགྱུར་རོ་༎ དེ་ལྟར་ས་ག-ཡོས་པ་ཐམས་ཅད་ནི་ལྷག་པར་མི་རྣམས་ལ་གནོད་པ་འབྱུང་བར་བསྒྲགས་ཏེ་། དེ་ལྟ་བུ་ནི་རླུང་གི་ས་ག-ཡོས་པ་ཞེས་བྱ་བའོ་༎
K10divav33u:2169	 p.121.7ab/.vīṇāś ca divi dṛśyante navamāsān na varṣati/	T14D4321:45b-12	ཟླ་བ་དགུར་ཆར་མི་འབབ་སྟེ་། ཞིང་ཐ་བར་ལུས་པར་འགྱུར་།
K10divav33u:2170	 p.121.7cd/.eteṣāṃ bhūmi^kampānāṃ jaghanyā;	T14D4321:45b-14	དེ་ལྟར་ས་ག-ཡོས་པ་ནི་ངན་ཅིང་མི་དགེ་སྟེ་།
K10divav33u:2172	 p.121.8a/.jayati; ahani pūrve kṣatriyān pārthivāṃś ca/  p.121.8b/.haya^gaja^ratha^mukhyān mantriṇo madhyama^ahne/	T14D4321:45b-16	དེ་ལ་སྔ་དྲོ་ས་ག-ཡོས་ན་རྒྱལ་པོ་དང་། དམག་གི་དཔུང་དང་ལྡན་པ་། རྟ་དང་། གླང་པོ་ཆེ་དང་། དམག་དཔོན་དང་། བློན་པོར་བཅས་པ་ལ་མི་དགེའོ་༎
