src_segmentnr	src_original	tgt_segmentnr	tgt_original
T06abhsubhu:2517	 tatra smṛtiḥ (Abhidh-s-bh 89)  saṃniśrayāṅgam,  upasthitasmṛteḥ sarvakuśaladharmābhilapanāt /	T16D4358-2:116a-19	དེ་ལ་དྲན་པ་ནི་ཡང་དག་པ་ཉིད་སྐྱོན་མེད་པ་ལ་ཞུགས་པའི་གང་ཟག་གིས་ཡང་དག་པ་ཇི་ལྟ་བ་ཉིད་བཞིན་དུ་རྟོགས་པའི་བྱང་ཆུབ་དེའི་གནས་ཀྱི་ཡན་ལག་གོ་༎
T06abhsubhu:2520	 dharmavicayaḥ svabhāvāṅgam,  saṃbodhilakṣaṇatvāt /	T16D4358-2:116a-20	ཆོས་རྣམ་པར་འབྱེད་པ་ནི་ངོ་བོ་ཉིད་ཀྱི་ཡན་ལག་གོ་༎
T06abhsubhu:2522	 vīryaṃ niryāṇāṅgam,  tena yāvadgamyaṃ gamanāt /	T16D4358-2:116b-0	བརྩོན་འགྲུས་༄༡༡༦བ་ནི་ངེས་པར་འབྱུང་བའི་ཡན་ལག་གོ་༎
T06abhsubhu:2524	 prītiranuśaṃsāṅgam,  tayā saṃtānaprīṇanāt /	T16D4358-2:116b-1	དགའ་བ་བཞི་ནི་ཕན་ཡོན་གྱི་ཡན་ལག་གོ་༎
T06abhsubhu:2526	 prasrabdhiḥ samādhirupekṣā cāsaṃkleśāṅgam /  tatra prasrabdhyā na saṃkliśyate,	T16D4358-2:116b-2	ཤིན་ཏུ་སྦྱངས་པ་དང་ཏིང་ངེ་འཛིན་དང་བཏང་སྙོམས་ནི་དེའི་ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་གཞི་དང་གནས་དང་ངོ་བོ་ཉིད་ཀྱི་ཡན་ལག་སྟེ་།
T06abhsubhu:2533	 bhāvanā smṛtisaṃbodhyaṅgaṃ bhāvayati vivekaniśritamityevamādirebhiḥ caturbhiḥ padairyathākramaṃ catuḥsatyālaṃbanā bodhyaṅgabhāvanā paridīpitā	T16D4358-2:116b-6	བསྒོམ་པ་གང་ཞེ་ན་། དྲན་པ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དབེན་པ་ལ་གནས་པ་འདོད་ཆགས་དང་བྲལ་བ་ལ་གནས་པ་འགོག་པ་ལ་གནས་པ་རྣམ་པར་སྤོང་བ་ཡོངས་སུ་བསྔོས་པ་བསྒོམ་པ་དང་། ལྷག་མ་རྣམས་ལ་ཡང་དེ་བཞིན་ནོ་༎
T06abhsubhu:2268	 kathaṃ punaḥ prathamaṃ dhyānaṃ samāpadyamānasya sapta manaskārā bhavanti /	T16D4358-2:105b-4	དེ་ལ་བསམ་གཏན་དང་པོ་ལ་ཡིད་ལ་བྱེད་པ་བདུན་གྱིས་ཇི་ལྟར་སྙོམས་པར་འཇུག་ཅེ་ན་།
T06abhsubhu:2269	 yena samāhitabhūmikena manaskāreṇa kameṣvādīnavādidarśanenaudārikalakṣaṇaṃ pratisavedayate /  tadabhāvācca prathamadhyāne śāntalakṣaṇam /	T16D4358-2:105b-5	མཉམ་པར་གཞག་པའི་ས་པའི་ཡིད་ལ་བྱེད་པ་གང་གིས་འདོད་པ་རྣམས་ལ་རགས་པའི་མཚན་ཉིད་དང་། བསམ་གཏན་དང་པོ་ལ་ཞི་བའི་མཚན་ཉིད་དུ་སོ་སོར་རིག་པར་བྱེད་པ་དེ་ནི་དེའི་མཚན་ཉིད་སོ་སོར་རིག་པའི་ཡིད་ལ་བྱེད་པ་ཡིན་ཏེ་།
T06abhsubhu:2271	 ayamucyate lakṣaṇapratisaṃvedanīya manaskāraḥ,  sa ca śrutacintāvyavakīrṇo veditavyaḥ /	T16D4358-2:105b-6	དེ་ནི་ཐོབ་པ་དང་བཅས་པ་དང་འདྲེས་པ་ཡིན་པར་རིག་པར་བྱའོ་༎
T06abhsubhu:2273	 tadūrdhva śrutaṃ cintāṃ cātikramyaikāntena bhāvanākāreṇa tadaudārikaśāntalakṣaṇanimittālaṃbanāṃ  śamathavipaśyanāṃ bhāvayan punaḥ punaryathāparyeṣitāmaudārikaśāntatāmadhimucyate	T16D4358-2:105b-7	དེས་དེ་ལྟར་འདོད་པ་རྣམས་ལ་རགས་པའི་མཚན་ཉིད་དང་བསམ་གཏན་དང་པོ་ལ་ཞི་བའི་མཚན་ཉིད་དུ་སོ་སོར་རིག་ནས་། བསམ་གཏན་དང་པོ་ལ་ཡོངས་སུ་ཚོལ་བ་དང་རགས་པ་ཞི་བའི་མཚན་ཉིད་ཇི་ལྟ་བ་བཞིན་གྱི་ཐོས་པ་དང་བསམ་པ་ལས་ཡང་དག་པར་འདས་ནས་གཅིག་ཏུ་བསྒོམ་པའི་རྣམ་པས་མོས་པར་བྱེད་ཅིང་།
T06abhsubhu:2276	 tadabhyāsāttatprathamataḥ prahāṇamārgasahagato manaskāraḥ prāvivekyaḥ,	T16D4358-2:105b-12	དེ་ཀུན་དུ་བསྟེན་ཞིང་གོམས་པར་བྱས་པ་ལན་མང་དུ་བྱས་པའི་རྒྱུས་དང་པོ་ཁོ་ན་ཉོན་མོངས་པ་ཆེན་པོ་སྤོང་བའི་ལམ་སྐྱེ་བར་འགྱུར་ཞིང་།
