src_segmentnr	src_original	tgt_segmentnr	tgt_original
K14amoghapu:0	 Āryāmoghapāśanāmahṛdayasūtram*  oṃ namaḥ śrīlokanāthāya /  amoghapāśāya bhagavate namaḥ /	K12D0686_H0689:197a-6	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་ཕྱག་འཚལ་ལོ་༎
K14amoghapu:101	 bodhir ity ucyate prajñāsattva upāyaḥ /	K12D0686_H0689:201a-6	བྱང་ཆུབ་ཅེས་བགྱི་བ་ནི་། ཤེས་རབ་ལགས་། སེམས་དཔའ་ཞེས་བགྱི་བ་ནི་། ཐབས་ལགས་ཏེ་།
K14amoghapu:102	 etau dvau dharmau sattvānām arthakaraṇenaiva prāpyete /	K12D0686_H0689:201a-10	ཆོས་འདི་གཉིས་སེམས་ཅན་རྣམས་ཀྱི་དོན་གྱི་སླད་ཁོ་ནས་ཐོབ་པ་ལགས་སོ་༎
K14amoghapu:103	 sacen me bhagavann anujānīyād yan nv aham imaṃ hṛdayaṃ tathāgatasya purataḥ kīrtaye catasṛṇāṃ parṣadām arthāya hitāya sukhāyānyeṣāṃ ca pāpakāriṇām*	K12D0686_H0689:201a-11	གལ་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་རྗེས་སུ་གནང་ན་། འདི་ལྟར་བདག་གིས་སྙིང་པོ་འདི་དེ་བཞིན་གཤེགས་པའི་སྤྱན་སྔར་འཁོར་བཞི་རྣམས་དང་། གཞན་སྡིག་པ་སྤྱོད་པ་རྣམས་ཀྱི་དོན་དང་། སྨན་པ་དང་། བདེ་སླད་དུ་བསྒྲག་པར་བགྱིའོ་༎
K14amoghapu:104	 atha khalu bhagavān āryāvalokiteśvaro bodhisattvaṃ mahāsattvam etad avocat* /	K12D0686_H0689:201a-13	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎
K14amoghapu:105	 bhāṣasva śuddhasattvāya yasyedānīṃ kālaṃ manyase /	K12D0686_H0689:201a-14	སེམས་ཅན་དག་པ་། དེའི་དུས་ལ་བབ་པར་ཤེས་ན་སྨྲོས་ཤིག་།
K14amoghapu:106	 anumoditaṃ tathāgatena paścimakāle paścimasamaye bodhisattvayānikānāṃ pitṛkāryaṃ kariṣyati /  atha khalu āryāvalokiteśvaro bodhisattvo mahāsattvo 'nimiṣanayano bhūtvā bhagavantam etad avocat* /  śṛṇu me bhagavan sarvabuddhabodhisattvanamaskṛtam idaṃ vimokṣamukhamaṇḍalaṃ bahujanahitāya bahujanasukhāya lokānukampāya mahato janakāyasyārthāya hitāya sukhāya vimokṣārthāya /	K12D0686_H0689:201a-16	དེ་བཞིན་གཤེགས་པས་རྗེས་སུ་ཡི་རང་བར་མཛད་ཟིན་ཏེ་། ཕྱི་མའི་ཚེ་ཕྱི་མའི་དུས་ན་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཅན་རྣམས་ལ་ཕའི་བྱ་བ་བྱེད་པར་འགྱུར་རོ་༎ དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་༄༢༠༡བ་དབང་ཕྱུག་མིག་མི་འཛུམ་པར་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎
K14amoghapu:11	 asti mama bhagavan amoghapāśarājaṃ nāma hṛdayaṃ yan mayā pūrvam ekanavatikalpavilokitāyāṃ	K12D0686_H0689:197b-6	བཅོམ་ལྡན་འདས་གང་འདི་དོན་ཡོད་པའི་ཞགས་པའི་རྒྱལ་པོའི་སྙིང་པོ་ཞེས་བགྱི་པ་མཆིས་ཏེ་།
K14amoghapu:114	 namaḥ āryamaitreyapramukhebhyo mahābodhisattvasaṃghebhyaḥ /  namaḥ supratiṣṭhitaśailendrarājapramukhebhyaḥ tathāgatebhyo 'rhadbhyaḥ samyakasaṃbuddhebhyo bhagavadbhyaḥ /  namaḥ suvarṇavarṇasupratibhāsavinivartiteśvararājāya tathāgatāya /  namaḥ siṃhavikrīḍitarājāya tathāgatāya /  namo amitābhāya tathāgatāya /	K12D0686_H0689:201b-2	བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱིས་ཕྱག་བགྱིས་པ་། རྣམ་པར་གྲོལ་བའི་དཀྱིལ་འཁོར་སྐྱེ་བོ་མང་པོ་ལ་སྨན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་དང་། སྐྱེ་བོའི་ཚོགས་ཆེན་པོའི་དོན་དུ་བདག་ལ་གསན་དུ་གསོལ་།
K14amoghapu:12	 lokadhātau lokendrarājatathāgatasya arhatsamyaksaṃbuddhasya sakāśād udgrahītaṃ yena  bhagavān (AphSū 160)	K12D0686_H0689:197b-7	བདག་གིས་བསྐལ་པ་དགུ་བཅུ་རྩ་གཅིག་གི་སྔོན་ལོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་རྣམ་པར་བལྟ་བར་དེ་བཞིན་གཤེགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་རྒྱལ་པོ་ལ་མནོས་ནས་འདི་ལྟར་བདག་གིས་དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པའི་ལྷའི་བུ་རྣམས་དང་།
K14amoghapu:14	 īśvaro maheśvaradevaputrapramukhāni bahūni śuddhāvāsikāyikadevaputrapramukhāny anekadevaputraśatasahasrāṇi samādāpitāny anuttarāyāṃ samyaksambodhau  asaṃmohajñānavyūhapramukhāni ca mayā daśasamādhiśatasahasrāṇi pratilabdhāni /	K12D0686_H0689:198a-0	གནས་གཙང་མའི་༄༡༩༨ཨ་༌༎ ལྷའི་བུ་བརྒྱ་སྟོང་ཕྲག་མང་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་འཛིན་དུ་སྩལ་ནས་བདག་གིས་རྨོངས་པ་མ་མཆིས་པའི་ཡེ་ཤེས་བཀོད་པ་ལ་སོགས་ཏེ་ཏིང་ངེ་འཛིན་བརྒྱ་སྟོང་ཕྲག་བཅུ་ཐོབ་པར་བགྱིས་ལགས་སོ་༎
K14amoghapu:152	 kara kara kiri kiri kuru kuru mahāsthāmaprāpta /	K12D0686_H0689:202a-9	ཀ་ར་ཀ་ར་། ཀི་རི་ཀི་རི་། ཀུ་རུ་ཀུ་རུ་། མ་ཧའ་སཐའ་མ་པྲཔཏ་། ཙ་ལ་ཙ་ལ་། སཉཙ་ལ་སཉཙ་ལ་། བི་ཙ་ལ་བི་ཙ་ལ་།
K14amoghapu:153	 cala cala saṃcala saṃcala vicala vicala pracala pracala eṭaṭa eṭaṭa bhara bhara bhiri bhiri bhuru bhuru tara tara tiri tiri turu turu ehy ehi mahākāruṇika /	K12D0686_H0689:202a-16	ཨཨེ་ཏ་ཏ་ཨཨེ་ཏ་ཏ་། བྷ་ར་བྷ་ར་། བྷི་རི་བྷི་རི་། བྷུ་རུ་བྷུ་རུ་། ཨཨེ་ཧྱེ་ཧི་མ་ཧའ་ཀའ་རུ་ནི་ཀ་།
