src_segmentnr	src_original	tgt_segmentnr	tgt_original
K01vinsutru:3151	 // samāptāni ca prātideśanīyāni //  2,6 kṣudraśikṣāpadāni /	T08D4121:145b-18	༎ ། སོ་སོར་བཤགས་པའི་འོག་ཏུ་བསླབ་པ་རྣམས་འབྱུང་བས་ན་དེ་དག་སྡུད་ཅིང་སྟོན་པ་ནི་།
K01vinsutru:3153	 Vin_2.2054 / [33b4] tathā nivasanaṃ nivasīta yathā parimaṇḍalaṃ saṃsthitaṃ syāt* /	T08D4121:145b-19	སྨད་ག-ཡོགས་ཇི་ནས་ཀྱང་ཟླུམ་སྒོ་རེ་འདུག་པར་བྱ་ཞེས་པ་དང་། ཧ་ཅང་མི་རྩེང་། ཧ་ཅང་མི་གནར་ཞེས་པ་ལ་སོགས་པ་ཡིན་ཏེ་། སྨད་ག-ཡོགས་བགོ་བའི་ཐབས་འདི་ལྟར་གྱིས་ཤིག་པའོ་༎
K01vinsutru:3154	 Vin_2.2055 / na cātyutkṛṣṭan nātyapakṛṣṭaṃ /  Vin_2.2056 / nāṃśena śuṇḍāvalambitaṃ /	T08D4121:146a-0	དེ་ལ་པུས་མོ་ཁས་མི་མཐོ་༄༡༤༦ཨ་༌་༎ ལོང་བུ་ལས་མི་འདའ་བ་ནི་མི་གནར་བའོ་༎ གྲ་སྣ་ཤལ་ལྟར་མི་སྦྱང་ཞེས་པ་ནི་དེའི་མཐའ་མ་འམ་གྲ་གླང་པོའི་སྣ་ཤལ་ལྟར་མ་སྦྱང་ཤིག་པའོ་༎ མཐོས་པར་མ་ཡིན་ཞེས་པ་ནི་སྐ་རགས་བཅིང་པ་ཡན་ཆད་ལས་མ་མཐོ་ཤིག་པའོ་༎
K01vinsutru:3639	 Vin_2.2426 / yāvad āptamāpadi /  Vin_2.2427 / bhuktyarthasannipātārtham ubhayoḥ kaṭikāgaṇḍyorddānam /	T08D4121:172a-10	དགོས་པའི་དུས་ཀྱི་འཐེབ་ཡོད་པར་ཇི་བདེར་བྱ་ཞེས་པ་ནི་འདུས་པ་ལས་འགྱེས་པའི་ཐབས་བསོད་སྙོམས་ལ་འདོང་ཞིང་ལྷུང་བཟེད་བཀྲུ་བ་ལ་སོགས་པའི་འཐེབ་ཡོད་པར་བྱས་ལ་ཇི་བདེར་ཞེས་ཞལ་ཏ་པས་སྙོད་ཅིག་པའོ་༎
K01vinsutru:3642	 Vin_2.2429 / asaṃpattau gaṇḍīdānena saṃbodhanasya mahāsannipāte yamalaśaṃkhayor āpūrṇam /	T08D4121:172a-13	སྦྱིན་བ་བཤད་པར་བྱ་ཞེས་པ་ནི་གདུགས་ཚོད་ལས་འགྱེས་པའི་ཚེ་སྦྱིན་པའི་ཚིགས་བཅད་ཀྱང་ལྷོགས་ཤིག་པའོ་༎
K01vinsutru:3643	 Vin_2.2430 / bheryāstāḍanam /  Vin_2.2431 / na gaṇḍīṃ nābhyudga[38a4]cchet /  Vin_2.2432 / na na kṣipram /	T08D4121:172a-14	འདིའང་རན་པར་རོ་ཞེས་པ་ནི་སྦྱིན་བའི་ཚིགས་བཅད་ཀྱང་མི་མང་མི་ཉུང་བར་རན་པར་ལྷོགས་ཤིག་པའོ་༎
K01vinsutru:3646	 Vin_2.2433 / saṃbhāvini kāryasya kāle 'vaśiṣṭe yathāsukhaṃ karaṇaṃ dattatridaṇḍake /	T08D4121:172a-15	ཞལ་ཏ་པ་ཕྱིས་འགྲོ་ཞེས་པ་དང་། འོང་བའི་ཚེ་ཐོག་མར་རོ་ཞེས་པ་ནི་སྤོང་བའི་ཁང་པ་ནས་འགྱེས་ཤིང་འདུ་བ་འམ་ཁྱིམ་པའི་མཆོད་སྟོན་ལ་འདོང་ཞིང་འདུ་བའི་ཚེ་ཞལ་ཏ་པ་སྔ་ཕྱིར་འགྲོ་བའི་ཐབས་འདི་ལྟར་གྱིས་ཤིག་པའོ་༎ གལ་ཏེ་དེ་ལྟ་བུའི་རྐྱེན་ཅིག་ན་ལྡེ་མིག་གི་སྐུངས་བསྟན་ཏེ་ཞེས་པ་ནི་མཆོད་སྟོན་ལས་སླར་འདོང་བའི་ཚེ་ཞལ་ཏ་པ་གུད་དུ་དོན་གཉེར་ཅིང་བྲེལ་ན་སྤོང་བ་རྣམས་ལ་ལྡེ་མིག་སྐུངས་སྟོན་ཅིག་པའོ་༎ གསོ་སྦྱིན་གྱི་དངོས་པོ་ཞི་༄༡༧༢བ་གནས་ཀྱི་གསོ་སྦྱིན་དུ་གཏོགས་པའོ་། ༎ ། ཞི་གནས་ཀྱི་གསོ་སྦྱིན་དེ་ལྟར་བསྟན་ཟིན་ནས་། འདུ་བའི་གསོ་སྦྱིན་གྱི་གནས་དང་པོ་ཇེ་སྟོན་པ་ནི་།
K01vinsutru:3647	 Vin_2.2434 / parimaṇḍalasyāsya dānam /  Vin_2.2435 / dakṣiṇadeśanakaraṇam /	T08D4121:172b-3	གསོ་སྦྱིན་གྱི་གནས་བཤམ་ཞེས་པ་ཡིན་ཏེ་། གསོ་སྦྱིན་གྱི་གནས་གྱིས་ཤིག་པའོ་༎
K01vinsutru:3649	 Vin_2.2436 / parimaṇḍalasya /	T08D4121:172b-5	གནས་ཇི་ལྟ་བུ་ཞེ་ན་།
K01vinsutru:3650	 Vin_2.2437 / pṛṣṭata[ḥ] parijāgaritu gamanam /  Vin_2.2438 / āgamanam agrataḥ /  Vin_2.2439 / tadrūpaś cet pratyayaḥ kṛtakopanāpāvaraṇīvyapadeśaḥ /	T08D4121:172b-6	ཡོང་གིས་སྐྱེས་པ་འམ་བྱས་པའམ་ཟིན་པའི་གནས་སོ་ཞེས་པ་ཡིན་ཏེ་མིང་གིས་སྨོས་པ་འདི་དག་གང་ཡང་གནས་སུ་རུང་བར་སྟོན་པའོ་༎
