src_segmentnr	src_original	tgt_segmentnr	tgt_original
T03bsa031_u:1869	 sarvākārāścatasro 'tha śuddhayo vaśitā daśa /  balāni daśa catvāri vaiśāradyānyarakṣaṇam // Abhis_8.4 //  trividhaṃ smutyupasthānaṃ tridhā 'saṃmoṣadharmatā /	T02D1415:89b-9	དེ་ལ་ལུས་དྲན་པ་ཉེ་བར་གཞག་པ་ནས་བཟུང་སྟེ་། ཡང་དག་པའི་ཏིང་ངེ་འཛིན་ཅེས་བྱ་བའི་བར་དུ་དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་དང་། ཡང་དག་པར་སྤོང་པ་བཞི་དང་། རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི་དང་། དབང་པོ་ལྔ་དང་། སྟོབས་ལྔ་དང་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་རྣམས་དང་།
T03bsa031_u:1872	 vāsanāyāḥ samuddhāto mahato karuṇā jane // Abhis_8.5 //  āveṇikā munereva dharmā ye 'ṣṭādaśeritāḥ /  sarvākārajñatā ceti dharmakāyo 'bhidhīyate // Abhis_8.6 //  iti / smṛtyupasthānādyārabhya āryāṣṭāṅgamārgaparyantā bodhipakṣāḥ /  pūrvavadapramāṇāni maitryādicaturbrahmavihārāḥ /	T02D1415:89b-11	འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་རྣམས་ནི་བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཏེ་། ཉན་ཐོས་ཀྱི་བྱང་ཆུབ་ལ་སོགས་པ་ཐམས་ཅད་དང་རྗེས་སུ་མཐུན་པའོ་༎
T03bsa031_u:1879	 ākāśavijñānākiñcanyanaivasaṃjñānāsaṃjñāyatanānīti catvāraḥ,	T02D1415:89b-13	ཚད་མེད་པ་རྣམས་ནི་སྙིང་རྗེ་ལ་སོགས་པ་ཚངས་པའི་གནས་པ་བཞིའོ་༎
T03bsa031_u:1880	 saṃjñāveditanirodha ityekaḥ ityaṣṭau vimokṣāḥ /	T02D1415:90a-0	དེ་ལ་གཟུགས་ཅན་གཟུགས་རྣམས་ལ་བལྟ་བ་དང་། ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱིའི་གཟུགས་ལ་བལྟ་བ་དང་། དག་པའི་རྣམ་པར་ཐར་པ་ལུས་ཀྱིས་མངོན་སུམ་དུ་༄༩༠ཨ་༌་༎ བྱས་ཏེ་གནས་པ་གསུམ་དང་། ནམ་མཁའ་མཐའ་ཡས་དང་། རྣམ་ཤེས་མཐའ་ཡས་དང་། ཅི་ཡང་མེད་པ་དང་། འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་བཞི་དང་། འདུ་ཤེས་དང་། ཚོར་བ་འགོག་པ་སྟེ་། བརྒྱད་པོ་དེ་དག་རྣམ་པར་ཐར་པ་རྣམས་སོ་༎
T03bsa031_u:1881	 rūpadhātucaturdhyānāni caturārūpyasamāpattayo nirodhasamāpattiriti nava samāpattayaḥ /	T02D1415:90a-3	གཟུགས་ཀྱི་ཁམས་ཀྱི་བསམ་གཏན་བཞི་དང་། གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་བཞི་དང་། འདུ་ཤེས་དང་། ཚོར་བ་འགོག་པ་སྟེ་། དགུ་པོ་དེ་དག་ནི་མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་རྣམས་སོ་༎
T03bsa031_u:1882	 pṛthivyaptejovāyunīlapītalohitāvadātavijñānākāśamiti kṛtsnaṃ daśavidham /	T02D1415:90a-5	ས་དང་། ཆུ་དང་། མེ་དང་། རླུང་རྣམས་དང་། སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་རྣམས་དང་། ནམ་མཁའ་དང་། རྣམ་པར་ཤེས་པ་རྣམས་སུ་རིལ་བསྒོམ་པ་ནི་ཟད་པར་གྱི་སྐྱེ་མཆེད་བཅུའོ་༎
T03bsa031_u:1883	 adhyātmarūpārūpasaṃjñinau pratyekaṃ parīttādhimātrākārābhyāṃ bahirdhā rūpāṇi paśyatastānyabhibhūya jānīta iti catuṣṭayam,	T02D1415:90a-6	ནང་གི་གཟུགས་ཀྱི་འདུ་ཤེས་རྣམས་སོ་སོར་ཡོངས་སུ་བཤིག་ནས་ཕྱི་རོལ་གྱི་གཟུགས་རྣམས་ལ་གནས་ཀྱི་བྱེ་བྲག་གིས་ཟིལ་གྱིས་མནན་བཞིན་དུ་ཤེས་ཤིང་ཟིལ་གྱིས་མནན་བཞིན་དུ་མཐོང་བ་བཞི་དང་། ནང་གི་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་སྔོན་པོ་དང་།
T03bsa031_u:1884	 adhyātmārūpasaṃjñī eva nīlapītalohitāvadātānabhibhūya paśyatīti catuṣṭayamityaṣṭavidhamabhibhvāyatanam /	T02D1415:90a-8	བརྒྱད་པོ་དེ་དག་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་རྣམས་ཏེ་། དེ་དག་ནི་མཐོ་རིས་ཀྱི་ལམ་དང་ཐུན་མོང་བའོ་༎
T03bsa031_u:1885	 parasantānagatakleśaraṇaprabandhonmūlanāt samādhirityaraṇā /	T02D1415:90a-10	རང་དང་གཞན་དག་གི་རྒྱུད་ལ་ཡོད་པའི་ཉོན་མོངས་པ་རྣམས་ཀྱི་རྒྱུན་ཏིང་ངེ་འཛིན་གང་གིས་སྤོང་བར་བྱེད་པ་ནི་ཉོན་མོངས་པ་མེད་པའོ་༎
T03bsa031_u:1886	 samyagapagatasarvanimittasaṅgavyāghātaṃ saṃśayāpanayanakāripraṇidhānasamṛddhyā āsaṃsāramasamāhitāvasthāyāṃ pravartata iti praṇidhijñānam,	T02D1415:90a-11	དེ་རྣམས་ཐམས་ཅད་དུ་མཚན་མ་དང་། བག་ཆགས་སྤངས་ནས་ཐེ་ཚོམ་རྣམ་པར་བསལ་ཏེ་། འཁོར་བ་ནི་ཇི་སྲིད་པའི་བར་དུ་སྨོན་ལམ་རྣམ་པར་དག་པ་སྤེལ་ཞིང་མཉམ་པར་གཞག་པ་ལ་འཇུག་པའི་གནས་སྐབས་འདི་ནི་སྨོན་ནས་ཤེས་པའོ་༎ ལྷའི་མིག་ལ་སོགས་པ་ནི་མངོན་པར་ཤེས་པ་རྣམས་སོ་༎
