src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04bsa013_u:10	 kāyavāṅamanomaunānmuniḥ /	T04D3837:147a-15	སྐུ་དང་། གསུང་དང་། ཐུགས་ཐུབ་པས་ན་ཐུབ་པའོ་༎
T04bsa013_u:100	 ayaṃ mokṣo veditavyaḥ /	T04D3837:148b-26	འདི་ནི་ཐར་པ་ཞེས་བྱའོ་༎
T04bsa013_u:101	 evaṃ śāśvatocchedādidurdṛṣṭayo 'panītā bhavanti // Phv_5 //	T04D3837:148b-27	དེ་ལྟར་ན་རྟག་པ་དང་ཆད་པའི་མཐའ་ལ་སོགས་པ་ལྟ་བ་ངན་པ་རྣམས་གསལ་བ་ཡིན་ནོ་༎
T04bsa013_u:102	 atra dvau ślokau bhavataḥ -	T04D3837:149a-1	ལ་ཚིགས་སུ་བཅད་པ་གཉིས་ཡོད་དེ་།
T04bsa013_u:103	 ya ucchedaṃ prakalpayatyatisūkṣme 'pi vastuni /	T04D3837:149a-2	ཤིན་ཏུ་ཕྲ་བའི་དངོས་ལ་ཡང་༎ གང་གི་ཆད་པར་རྣམ་བརྟགས་པར་༎
T04bsa013_u:104	 pratītyasambhavasyārthamavijñaḥ sa na paśyati // Pshk_6 //	T04D3837:149a-4	རྣམ་པར་མི་མཁས་དེ་ཡི་ནི་༎ རྐྱེན་ལས་སྐྱེས་པའི་དོན་མ་མཐོང་༎
T04bsa013_u:105	 nāpaneyamataḥ kiñcitprakṣepyaṃ nāpi kiñcana /	T04D3837:149a-6	འདི་ལ་གསལ་བྱ་གང་ཡང་མེད་༎ གཞག་པར་བྱ་བ་ཅི་ཡང་མེད་༎
T04bsa013_u:106	 bhūtaśca bhūtato dṛṣṭvā bhūtadarśī vimucyate // Pshk_7 //	T04D3837:149a-8	ཡང་དག་ཉིད་ལ་ཡང་དག་བལྟ་༎ ཡང་དག་མཐོང་ན་རྣམ་པར་གྲོལ་༎
T04bsa013_u:107	 ācārya nāgārjunakṛtaṃ pratītyasamutpādahṛdayavyākhyānaṃ samāptam /	T04D3837:149a-10	རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས༎
T04bsa013_u:11	 tena muninoddiṣṭāḥ kathitāḥ prakāśitā iti paryāyāḥ /	T04D3837:147a-16	ཐུབ་པ་དེས་གསུངས་པ་ཞེས་བྱ་བ་ནི་བསྟན་པ་དང་། བཤད་པ་ཞེས་བྱ་བའི་རྣམ་གྲངས་སུ་གཏོགས་པའོ་༎
T04bsa013_u:12	 te ca na prakṛtiniyatipuruṣaparādhīnakarmaīśvarakālasvabhāvayathecchāprajāpatiyadṛcchādikāraṇaprasūtāḥ /	T04D3837:147a-17	དེ་ཡང་རང་བཞིན་དང་། ངེས་པ་དང་། སྐྱེས་བུ་དང་༏་གཞན་ལ་རག་ལས་པ་དང་། དབང་ཕྱུག་དང་། དུས་དང་། ངོ་བོ་ཉིད་དང་། འདོད་རྒྱལ་དང་། གནམ་གྱིས་བསྐོས་པ་དང་། གྱི་ན་ལ་སོགས་པའི་རྒྱུ་རྣམས་ལས་བྱུང་བ་ནི་མ་ཡིན་ཏེ་།
T04bsa013_u:13	 kiṃ tarhi pratītyasambhūtāḥ /	T04D3837:147a-18	འདི་ནི་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའོ་༎
T04bsa013_u:14	 te dvādaśāṅgaviśeṣāḥ kleśakarmaduḥkhā anyonyaṃ pratītya naḍakalāpayogena triṣu yathāvat saṃkṣiptāḥ /	T04D3837:147a-19	ཡན་ལག་བཅུ་གཉིས་པོ་འདི་དག་ནི་ཉོན་མོངས་པ་དང་། ལས་དང་། སྡུག་བསྔལ་རྣམས་སུ་གཅིག་ལ་གཅིག་བརྟེན་ཏེ་མདུང་ཁྱིམ་གྱི་ཚུལ་དུ་གསུམ་པོ་དག་ཏུ་ཟད་པར་འདུས་པར་འགྱུར་རོ་༎
T04bsa013_u:15	 yathāvaditi aśeṣeṇetyarthaḥ // Phv_1 //	T04D3837:147a-20	ཟད་པར་ཞེས་བྱ་བ་ནི་མ་ལུས་པར་ཞེས་བྱ་བའི་ཐ་ཚིག་གོ་༎
T04bsa013_u:16	 pṛcchati / ke punaste kleśāḥ /	T04D3837:147a-21	དྲིས་པ་། ཉོན་མོངས་པ་རྣམས་ནི་གང་།
T04bsa013_u:17	 kiṃ karma /	T04D3837:147a-22	ལས་དག་ནི་གང་།
