src_segmentnr	src_original	tgt_segmentnr	tgt_original
T01tarasdhu:10	 sarvasmin satvamārge nanu tava karuṇā nirviśeṣaṃ pravṛttā	T02D1690:38b-13	ཁྱེད་ཀྱི་ཐུགས་རྗེ་སེམས་ཅན་རྣམས་ནི་ཀུན་ལ་བྱེ་བྲག་མེད་པར་འཇུག་པ་མ་ལགས་སམ་༎
T01tarasdhu:100	 tvadvidyālabdhasiddhir malayamadhuvanaṃ yāti vidyādharendraḥ	T02D1690:41a-4	ཁྱོད་ཀྱི་རིགས་དྲུག་རིག་འཛིན་དབང་པོ་མ་ལ་ཡ་ཡི་མེ་ཏོག་ཚལ་དུ་རང་དགར་འགྲོ་༎
T01tarasdhu:101	 khaḍgāṃśuśyāmapīnonnatabhujaparigha prollasatpārihāryaḥ // Tss_25  hārākrāntastanāntāḥ śravaṇakuvalayaspardhamānāyatākṣā  mandārodāraveṇītaruṇaparimalāmoghamādyaddvirephāḥ /  kācīnādānubandhoddhatataracaraṇodāramañjīratūryās	T02D1690:41a-5	ནུ་མའི་ཐོན་འཁོར་དོ་ཤལ་གྱིས་བརྒྱན་མིག་དཀྱུས་རིང་པོ་རྣ་བའི་ཨཽཏཔལ་ལ་འགྲན་ཅིང་༎ ལྷ་མོ་ཡིད་འོང་མནད་ར་བ་དང་ལྡན་ཟེ་འབྲུ་གསར་པའི་དྲིས་མྱོས་བུང་བ་ཅན་༎ དྲིལ་ཆུང་སྒྲ་ཡིས་རྗེས་འབྲེལ་རབ་ཏུ་གསལ་བར་རྐང་གདུབ་ཡིད་འོང་སྒྲ་སྙན་སྒྲོགས་པར་བྱེད་༎
T01tarasdhu:105	 tvannāthaṃ prārthayante smaramadamuditāḥ sādarā devakanyāḥ // Tss_26	T02D1690:41a-8	འདོད་པས་མྱོས་དགའ་གཞོན་ནུ་མ་རྣམས་གུས་དང་བཅས་པར་ཁྱེད་མགོན་ལྡན་པ་དོན་དུ་གཉེར་༎
T01tarasdhu:106	 ratnacchannāntavāpīkanakakamalinīvajrakiñjalkamālām	T02D1690:41a-9	རྫིང་བུའི་ནང་ལོགས་རིན་པོ་ཆེས་སྤྲས་གསེར་གྱི་པད་ལྡན་ཟེའུ་འབྲུ་རྡོ་རྗེ་ཕྲེང་བ་ཅན་༎
T01tarasdhu:107	 unmajjatpārijātadrumadhuramadhūddhūtadhūlīvitānām /  vīṇāveṇupravīṇāmarapuraramaṇīdattamādhūryatūryāṃ	T02D1690:41a-10	ཡོངས་འདུའི་ལྗོན་པ་ལས་འཕྲོ་དྲི་བཟང་དང་ལྡན་མེ་ཏོག་རྡུལ་གྱི་བླ་རེ་མཐོར་བྲེས་ཏེ་༎ པི་ཝང་གླིང་བུ་སྒྲོགས་མཁས་ལྷ་ཡི་གྲོང་གི་དགའ་བ་རྣམས་ཀྱིས་སྙན་པར་རབ་བསྒྲགས་པའི་༎
T01tarasdhu:109	 kṛtvāyuṣmatsaparyām anubhavati ciraṃ nandanodyānayātrām // Tss_27	T02D1690:41a-12	དགའ་བའི་སྐྱེད་ཚལ་བགྲོད་པ་ཁྱོད་ལ་མཆོད་པ་བགྱིད་པས་ཡུན་རིང་ཉམས་སུ་མྱོང་བར་འགྱུར་༎
T01tarasdhu:11	 tanmadhye tadgraheṇa grahaṇam upagataṃ mādṛśasyāpy avaśyam /	T02D1690:38b-14	དེ་དག་གཟུང་བས་བདག་འདྲ་ཡང་ནི་དེ་དག་ནང་དུ་གཟུང་བར་འགྱུར་ལ་གདོན་མི་ཟ་༎
T01tarasdhu:110	 karpūrailālavaṅgatvagagarunaladakṣogandhodakāyāṃ  dāntākandarpadarpotkaṭakucakuharāvartaviśrāntavīcyām /  mandākinyām amandacchaṭasalilasaritkrīḍayā sundarībhiḥ	T02D1690:41a-14	ག་པུར་ཨཨེ་ལ་ལི་ཤི་ཤུན་པ་ཨཨ་ཀ་རུ་དང་ན་ལ་ད་ཕྱེའི་དྲི་ལྡན་ཆུ་༎ འདོད་པའི་དྲེགས་པས་རབ་འབུར་བུད་མེད་ནུ་མའི་སྐྱིབས་སུ་རྦ་རླབས་འཁྱིལ་གནས་དལ་འབབ་པ་༎
T01tarasdhu:113	 krīḍanti tvadgatāntaḥkaraṇapariṇatottaptapuṇyaprabhāvāḥ // Tss_28	T02D1690:41a-16	སྨན་མིན་ཆུ་ཡི་ཟེར་མ་དང་ལྡན་ཆུ་རྩེད་མཛེས་མ་དག་དང་ལྷན་ཅིག་རྩེ་བར་འགྱུར་༎
