src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12sarvttsu:56	 atha sarvatathāgatairidaṃ buddhakṣetraṃ tadyathā tilabimbamiva paripūrṇama //	T02D2631:133a-0	དེ་ཉིད་ཐུགས་རྗེ་ཆེན་པོ་ལས་བྱུང་བའི་དབང་གིས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་ཞིང་འདི་ཏིལ་གྱི་གང་བུ་བཞིན་དུ་གང་བར་གྱུར་པ་དང་། ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་དེ་ཉིད་འདི་ལྟ་བུ་༄༡༣༣ཨ་༌་༎
K12sarvttsu:58	 yena sarvārthasiddhirbodhisattvo mahāsattvaḥ bodhimaṇḍaniṣaṇṇastenopajagmuḥ /	T02D2631:133a-2	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དོན་ཐམས་ཅད་གྲུབ་པ་ཞེས་བྱ་བ་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ན་བཞུགས་པ་ག་ན་བ་དེར་གཤེགས་ཏེ་།
K12sarvttsu:59	 upetya bodhisattvasya sāṃbhogikaiḥ kāyairdarśanandatvaivamāhuḥ- “kathaṃ kulaputrānuttarāṃ samyaksambodhim abhisaṃbhotsyase,  yastvaṃ sarvatathāgatatattvānabhijñatayā sarvaduḥkarāṇyutsahasī-?“ti /	T02D2631:133a-3	དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་དེ་བཞིན་ཉིད་ཀྱི་ཆེད་དུ་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ་བསྟན་ནས་། འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ རིགས་ཀྱི་བུ་གང་གི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དེ་ཁོ་ན་ཉིད་རྟོགས་པར་དཀའ་བ་སྤྱོད་པ་ཐམས་ཅད་ལ་སྤྲོ་བ་བསྐྱེད་ཅིང་ཇི་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་བྱ་སྙམ་།
K12sarvttsu:62	 sarvatathāgatān praṇipatyāhū yaivamāha- “bhagavantastathāgatā ājñāpayata kathaṃ pratipadyāmi kīdṛśaṃ tat tattvam” iti /	T02D2631:133a-9	ཞེས་པས་ཕྱག་རྒྱ་སྟེ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་རྣམས་བདག་གིས་མ་འཚལ་ན་། དེ་ཁོ་ན་ཉིད་ཇི་ལྟ་བུ་ལགས་། ཇི་ལྟར་བསྒྲུབ་པར་བགྱི་།
K12sarvttsu:63	 evamukte sarvatathāgatāstaṃ bodhisattvamekakaṇṭhenaivamāhuḥ- “pratipadyasva kulaputra	T02D2631:133a-13	དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་གསུང་གཅིག་ཏུ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ རིགས་ཀྱི་བུ་རང་གི་སེམས་ལ་སོ་སོར་རྟོགས་ལ་།
K12sarvttsu:64	 svacittapratyavekṣaṇasamādhānena prakṛtisiddhena rucijaptena mantreṇa” iti oṃ cittaprativedhaṃ karomi /	T02D2631:133a-15	རང་བཞིན་གྱིས་གྲུབ་པའི་སྔགས་འདི་དགའ་བར་བཟླས་། ཨཨོམ་ཙིཏཏ་པྲ་ཏི་བནདྷ་ནམ་ཀ་རོ་མི་།
K12sarvttsu:65	 atha bodhisattvaḥ sarvatathāgatānevamāha- “ājñātaṃ me bhagavantastathāgatāḥ svahṛdi candramaṇḍalākāraṃ paśyāmi” /	T02D2631:133a-17	ཞེས་བྱ་བས་ཕུང་པོ་དང་། ཁམས་དང་། སྐྱེ་མཆེད་རྣམས་གཟུང་བ་དང་འཛིན་པའི་རྣམ་པར་རྟོག་པ་ཐམས་ཅད་དང་བྲལ་བ་། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་གཉིས་སུ་མེད་པ་། དེ་ཁོ་ན་ཉིད་ཀྱི་ངོ་བོ་ཉིད་རྟོགས་པའི་བདག་ཉིད་ཀྱི་སེམས་སོ་སོར་རྟོགས་པ་དང་། སེམས་རིན་པོ་ཆེ་དེ་ཉིད་སྙིང་རྗེ་ཆེན་པོས་བརྒྱན་པ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་དང་མཉམ་པའི་མཚན་ཉིད་ཅན་ཟླ་བའི་དཀྱིལ་འཁོར་ལྟ་བུར་མཐོང་བ་དང་། འདི་སྐད་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་རྣམས་བདག་གི་སྙིང་ག་ན་ཟླ་བའི་དཀྱིལ་འཁོར་ལྟ་བུར་རྟོགས་སོ་༎
K12sarvttsu:66	 sarvatathāgatāḥ procuḥ- “prakṛtiprabhāsvaramidaṃ kulaputra cittaṃ,	T02D2631:133a-22	དེ་ནས་རིགས་ཀྱི་བུ་སེམས་ནི་རང་བཞིན་གྱིས་འོད་གསལ་བས་ན་།
K12sarvttsu:67	 tadyathā parikarṣyate tat tathaiva bhavati /	T02D2631:133a-23	ཇི་ལྟར་སྦྱངས་པ་དེ་ལྟར་འགྱུར་ཏེ་།
K12sarvttsu:68	 tadyathāpi nāma śvetavastre rāgarañjanam” iti /	T02D2631:133a-24	དཔེར་ན་རས་དཀར་པོ་ཚོན་གྱིས་བསྒྱུར་བ་བཞིན་ནོ་༎
