src_segmentnr	src_original	tgt_segmentnr	tgt_original
GK19asvsau2u:763	 aṣṭamaḥ sargaḥ  strīvighna	T13n929u_008:0	 aṣṭamaḥ sargaḥ  strī-vighna
GK19asvsau2u:765	 atha nandamadhīralocanaṃ gṛhayānotsukamutsukotsukam /  abhigamya śivena cakṣuṣā śramaṇaḥ kaściduvāca maitrayā // Saund_8.1 //	T13n929u_008:2	 atha nandamadhīralocanaṃ gṛhayānotsukamutsukotsukam |  abhigamya śivena cakṣuṣā śramaṇaḥ kaściduvāca maitrayā ||1 ||
GK19asvsau2u:767	 kimidaṃ mukhamaśrudurdinaṃ hṛdayasthaṃ vivṛṇoti te tamaḥ /	T13n929u_008:4	 kimidaṃ mukhamaśrudurdinaṃ hṛdayasthaṃ vivṛṇoti te tamaḥ |
GK19asvsau2u:768	 dhṛtimehi niyaccha vikriyāṃ na hi bāṣpaśca śamaśca śobhate // Saund_8.2 //	T13n929u_008:5	 dhṛtimehi niyaccha vikriyāṃ na hi bāṣpaśca śamaśca śobhate ||2 ||
GK19asvsau2u:769	 dvividhā samudeti vedanā niyataṃ cetasi deha eva ca /	T13n929u_008:6	 dvividhā samudeti vedanā niyataṃ cetasi deha eva ca |
GK19asvsau2u:770	 śrutavidhyupacārakovidā dvividhā eva tayościkitsakāḥ // Saund_8.3 //	T13n929u_008:7	 śrutavidhyupacārakovidā dvividhā eva tayościkitsakāḥ ||3 ||
GK19asvsau2u:771	 tadiyaṃ yadi kāyikī rujā bhiṣaje tūrṇamanūnamucyatām /	T13n929u_008:8	 tadiyaṃ yadi kāyikī rujā bhiṣaje tūrṇamanūnamucyatām |
GK19asvsau2u:772	 viniguhya hi rogamāturo nacirāttīvramanarthamṛcchati // Saund_8.4 //	T13n929u_008:9	 viniguhya hi rogamāturo nacirāttīvramanarthamṛcchati ||4 ||
GK19asvsau2u:773	 atha duḥkhamidaṃ manomayaṃ vada vakṣyāmi yadatra bheṣajam /	T13n929u_008:10	 atha duḥkhamidaṃ manomayaṃ vada vakṣyāmi yadatra bheṣajam |
GK19asvsau2u:774	 manaso hi rajastamasvino bhiṣajo 'dhyātmavidaḥ parīkṣakāḥ // Saund_8.5 //	T13n929u_008:11	 manaso hi rajastamasvino bhiṣajo'dhyātmavidaḥ parīkṣakāḥ ||5 ||
GK19asvsau2u:775	 nikhilena ca satyamucyatāṃ yadi vācyaṃ mayi saumya manyase /  gatayo vividhā hi cetasāṃ bahuguhyāni mahākulāni ca // Saund_8.6 //	T13n929u_008:12	 nikhilena ca satyamucyatāṃ yadi vācyaṃ mayi saumya manyase |  gatayo vividhā hi cetasāṃ bahuguhyāni mahākulāni ca ||6 ||
GK19asvsau2u:777	 iti tena sa coditastadā vyavasāyaṃ pravivakṣurātmanaḥ /	T13n929u_008:14	 iti tena sa coditastadā vyavasāyaṃ pravivakṣurātmanaḥ |
GK19asvsau2u:778	 avalambya kare kareṇa taṃ praviveśānyatarad vanāntaram // Saund_8.7 //	T13n929u_008:15	 avalambya kare kareṇa taṃ praviveśānyatarad vanāntaram ||7 ||
GK19asvsau2u:779	 atha tatra śucau latāgṛhe kusumodgāriṇi tau niṣedatuḥ /	T13n929u_008:16	 atha tatra śucau latāgṛhe kusumodgāriṇi tau niṣedatuḥ |
GK19asvsau2u:780	 mṛdubhirmṛdumāruteritairupagūḍhāviva bālapallavaiḥ // Saund_8.8 //	T13n929u_008:17	 mṛdubhirmṛdumāruteritairupagūḍhāviva bālapallavaiḥ ||8 ||
GK19asvsau2u:781	 sa jagāda tataścikīrṣitaṃ ghananiśvāsagṛhītamantarā /	T13n929u_008:18	 sa jagāda tataścikīrṣitaṃ ghananiśvāsagṛhītamantarā |
GK19asvsau2u:782	 śrutavāgviśadāya bhikṣave viduṣā pravrajitena durvacam // Saund_8.9 //	T13n929u_008:19	 śrutavāgviśadāya bhikṣave viduṣā pravrajitena durvacam ||9 ||
