src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10bsu021_u:1180	 sa ca kila tvayā prakṛtiprabhāsvaraviśuddhyādiviśuddha eva varṇyate dvātriṃśallakṣaṇadharaḥ sarvasattvadehāntargataḥ /	T04D3862:281a-28	དེ་བཞིན་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་མདོ་བརྗོད་པ་ལས་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་གསུངས་པ་དེ་བཅོམ་ལྡན་འདས་ཀྱིས་རང་བཞིན་གྱིས་འོད་གསལ་བ་རྣམ་པར་དག་པས་ཐོག་མ་ནས་རྣམ་པར་དག་པ་ཉིད་མཚན་སུམ་ཅུ་རྩ་གཉིས་དང་ལྡན་པ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ལུས་ཀྱི་ནང་ན་མཆིས་པར་བརྗོད་དེ་།
K10bsu021_u:1181	 mahārghamūlyaratnaṃ malinavastupariveṣṭitamiva skandhadhātvāyatanavastuveṣṭito rāgadveṣamohābhūtaparikalpamalamalino nityo dhruvaḥ śivaḥ śāśvataśca bhagavatā varṇitaḥ /	T04D3862:281b-0	བཅོམ་ལྡན་འདས་ཀྱིས་རིན་པོ་ཆེ་རིན་ཐང་ཆེན་པོ་གོས་དྲི་མ་ཅན་གྱིས་ཡོངས་སུ་དཀྲིས་པ་ལྟར་ཕུང་པོ་དང་༄༢༨༡བ་ཁམས་དང་སྐྱེ་མཆེད་ཀྱི་གོས་ཀྱིས་ཡོངས་སུ་དཀྲིས་པ་། འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་གིས་ཟིལ་གྱིས་གནོན་པ་། ཡོངས་སུ་རྟོག་པའི་དྲི་མས་དྲི་མ་ཅན་དུ་གྱུར་པ་། རྟག་པ་བརྟན་པ་ཐེར་ཟུག་པར་མི་བརྗོད་ན་༎
K10bsu021_u:1182	 tatkathamayaṃ bhagavaṃstīrthakarātmavādatulyastathāgatagarbhavādo na bhavati?	T04D3862:281b-4	བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པས་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོར་སྨྲ་བ་འདི་ནི་མུ་སྟེགས་བྱེད་ཀྱི་བདག་ཏུ་སྨྲ་བ་དང་ཇི་ལྟར་འདྲ་བ་མ་ལགས་།
K10bsu021_u:1183	 tīrthakarā api bhagavan nityaḥ kartā nirguṇo vibhuravyaya ityātmavādopadeśaṃ kurvanti //	T04D3862:281b-5	བཅོམ་ལྡན་འདས་མུ་སྟེགས་བྱེད་རྣམས་ཀྱང་རྟག་པ་བྱེད་པ་པོ་མ་ཡིན་པ་ཡོན་ཏན་མེད་པ་ཁྱབ་པ་མི་འཇིག་པའོ་ཞེས་བདག་ཏུ་སྨྲ་བ་སྟོན་པར་བྱེད་དོ་༎
K10bsu021_u:1184	 bhagavānāha - na hi mahāmate tīrthakarātmavādatulyo mama tathāgatagarbhopadeśaḥ /	T04D3862:281b-6	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། བློ་གྲོས་ཆེན་པོ་ངའི་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་བསྟན་པ་ནི་མུ་སྟེགས་ཅན་གྱི་བདག་ཏུ་སྨྲ་བ་དང་མཚུངས་པ་མ་ཡིན་ཏེ་།
K10bsu021_u:1185	 kiṃ tu mahāmate tathāgatāḥ śūnyatābhūtakoṭinirvāṇānutpādānimittāpraṇihitādyānāṃ mahāmate	T04D3862:281b-8	བློ་གྲོས་ཆེན་པོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་། སྟོང་པ་ཉིད་དང་། ཡང་དག་པའི་མཐའ་དང་། མྱ་ངན་ལས་འདས་པ་དང་། མ་སྐྱེས་པ་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་ལ་སོགས་པའི་ཚིག་གི་དོན་རྣམས་ལ་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོར་བསྟན་པ་བྱས་ནས་།
K10bsu021_u:1187	 nairātmyasaṃtrāsapadavivarjanārthaṃ nirvikalpanirābhāsagocaraṃ tathāgatagarbhamukhopadeśena deśayanti /	T04D3862:281b-10	བྱིས་པ་རྣམས་བདག་མེད་པས་འཇིགས་པར་འགྱུར་བའི་གནས་རྣམ་པར་སྤང་བར་བྱ་བའི་དོན་དུ་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོའི་སྒོ་བསྟན་པ་རྣམ་པར་མི་རྟོག་པའི་གནས་སྣང་བ་མེད་པའི་སྤྱོད་ཡུལ་སྟོན་ཏེ་།
K10bsu021_u:1188	 na cātra mahāmate anāgatapratyutpannaiḥ bodhisattvairmahāsattvairātmābhiniveśaḥ kartavyaḥ /	T04D3862:281b-11	བློ་གྲོས་ཆེན་པོ་མ་འོངས་པ་དང་ད་ལྟར་བྱུང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱིས་བདག་ལ་མངོན་པར་ཞེན་པར་མི་བྱའོ་༎
K10bsu021_u:1189	 tadyathā mahāmate kumbhakāra ekasmānmṛtparamāṇurāśervividhāni bhāṇḍāni karoti hastaśilpadaṇḍodakasūtraprayatnayogāt,	T04D3862:281b-12	བློ་གྲོས་ཆེན་པོ་དཔེར་ན་རྫ་མཁན་ནི་འཛིམ་པའི་རྡུལ་གྱི་ཕུང་པོ་གཅིག་ལས་ལག་པ་དང་བཟོ་དང་། ལག་གཟུངས་དང་ཆུ་དང་སྲད་བུ་དང་ནན་ཏན་དང་ལྡན་པ་ལས་སྣོད་རྣམ་པ་སྣ་ཚོགས་བྱེད་དོ་༎
K10bsu021_u:1190	 evameva mahāmate tathāgatāstadeva dharmanairātmyaṃ sarvavikalpalakṣaṇavinivṛttaṃ  vividhaiḥ prajñopāyakauśalyayogairgarbhopadeśena vā nairātmyopadeśena vā kumbhakāravaccitraiḥ	T04D3862:281b-13	བློ་གྲོས་ཆེན་པོ་དེ་བཞིན་དུ་། དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱང་ཆོས་ལ་བདག་མེད་པ་རྣམ་པར་རྟོག་པའི་མཚན་ཉིད་ཐམས་ཅད་རྣམ་པར་ལོག་པ་དེ་ཉིད་ཤེས་རབ་དང་ཐབས་ལ་མཁས་པ་དང་ལྡན་པ་རྣམ་པ་སྣ་ཚོགས་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་བསྟན་པའམ་བདག་མེད་པར
