src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10D0127_H0129:243b-0	རྫུ་འཕྲུལ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྫུ་འཕྲུལ་གྱི་ཡུལ་རྣམ་པ་མང་པོ་༄༢༤༣བ་མྱོང་བར་བྱེད་པ་ཡིན་ཏེ་།	T17n996u_001:223	 4 anekavidhamṛddhiviṣayaṃ pratyanubhavati |
K10D0127_H0129:243b-1	གཅིག་ཏུ་གྱུར་ནས་མང་པོར་འགྱུར་། མང་པོར་གྱུར་ནས་གཅིག་ཏུ་འགྱུར་༎	T17n996u_001:224	 5 eko bhūtvā bahudhā bhavati |  6 bahudhā bhūtvā eko bhavati |
K10D0127_H0129:243b-3	སྣང་བར་གྱུར་ཅིང་མི་སྣང་བར་ཡང་འགྱུར་།	T17n996u_001:226	 7 āvirbhavati tirobhāvamapi pratyanubhavati |
K10D0127_H0129:243b-4	རྩིག་པ་ལའང་ཐད་ཀར་འགྲོ་། ར་བ་ལའང་ཐད་ཀར་འགྲོ་། རི་ལའང་མི་ཐོགས་པར་འགྲོ་། ནམ་མཁའ་ལའང་འགྲོ་སྟེ་། དཔེར་ན་། འདབ་ཆགས་བྱ་བཞིན་ནོ་༎	T17n996u_001:227	 8 tiraḥ kuḍyaṃ tiraḥprākāraṃ |  9 parvatamapyasajjamāno gacchati |  10 ākāśe vikramate tadyathā pakṣī śakuniḥ |
K10D0127_H0129:243b-9	ས་ལའང་སྟེང་དུ་འབྱུང་བ་དང་། བྱིའུ་ཟླ་བྱེད་དེ་། དཔེར་ན་། ཆུ་ལ་བྱ་བ་བཞིན་ནོ་། ༏ཆུ་ལའང་མི་ནུབ་པར་འགྲོ་སྟེ་། དཔེར་ན་། སའི་ཕུང་པོ་ཆེན་པོ་ལ་བྱ་བ་བཞིན་ནོ་༎	T17n996u_001:230	 11 pṛthivyāmunmajjananimajjanaṃ karoti tadyathāpi nāmodake |  12 udake'pyabhidyamāno gacchati tadyathāpi nāma mahāpṛthivyāṃ |
K10D0127_H0129:243b-13	དུ་བ་འཐུལ་བར་ཡང་བྱེད་། འབར་བར་ཡང་བྱེད་དེ་། དཔེར་ན་། མེའི་ཕུང་པོ་ཆེན་པོ་བཞིན་ནོ༏་༏བདག་གི་ལུས་ལས་ཆུའི་རྒྱུན་ཆེན་པོ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་འབྱིན་ཏེ་། ཆུའི་རྒྱུན་དེ་དག་གིས་སྟོང་གསུམ་གྱིས་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་བསྲེགས་ཤིང་རབ་ཏུ་འཚིག་སྟེ་། མེས་རབ་ཏུ་འབར་ཞིང་འབར་བ་གཅིག་ཏུ་གྱུར་པ་ཞི་བར་བྱེད་དོ་༎	T17n996u_001:232	 13 dhūmāpatyapi prajvalatyapi tadyathāpi nāma mahānagniskandhaḥ |  14 svakāyādapi mahāvāridhārā utsṛjati |  15 yābhirvāridhārābhirayaṃ trisāhasramahāsāhasro lokadhāturādīptaḥ pradīptaḥ saṃprajvalito'gnināekajvalībhūto nirvāpyate |  16 imāvapi candrasūryā evaṃmaharddhika evaṃmahānubhāvā evaṃmahījaskī pāṇinā parāmṛṣati parimārjayati |
K10D0127_H0129:16b-22	དེ་བཞིན་གཤེགས་པ་དེ་ནི་བསོད་ནམས་དག་གི་རྒྱུ་མཐུན་པ་། དགེ་བའི་རྩ་བ་རྣམས་ཆུད་མི་ཟ་བ་།	T17n996u_001:387	 22 niṣyandaḥ sa tathāgataḥ puṇyānāṃ |  23 avipraṇāśaḥ kuśalamūlānāṃ |
K10D0127_H0129:16b-24	བཟོད་པས་བརྒྱན་པ་།	T17n996u_001:389	 24 alaṃkṛtaḥ kṣāttyā |
K10D0127_H0129:16b-25	བསོད་ནམས་ཀྱི་གཏེར་རྣམས་ཀྱི་གཞི་།	T17n996u_001:390	 25 āgamaḥ puṇyanidhānānāṃ |
K10D0127_H0129:16b-26	དཔེ་བྱད་བཟང་པོ་རྣམས་ཀྱིས་སྤྲས་པ་། མཚན་གྱི་མེ་ཏོག་རྒྱས་པ་།	T17n996u_001:391	 26 citrito'nuvyañjanaiḥ |  27 kusumito lakṣaṇaiḥ |  28 pratinūpo gocareṇa |
