src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04sanssr_pu:3897	 ye ca daśadiśi loke tiṣṭhanti dvipadottamāḥ //  tat sarvaṃ deśayiṣyāmi sthito daśabalāgrataḥ //  mātāpitṝn ajānatā buddhānām aprajānatā /	K12D0557_H0515:415a-18	སྟོབས་བཅུའི་སྤྱན་སྔར་བདག་མཆིས་ཏེ་༎ དེ་དག་ཐམས་ཅད་བཤགས་པར་བགྱི༏་༏ཕ་མ་དག་ཏུ་མི་འཛིན་དང་༎ སངས་རྒྱས་རྣམས་སུ་མི་འཛིན་དང་༎ དགེ་བ་དག་ཏུ་མི་འཛིན་པས་༎
T04sanssr_pu:3901	 kuśalaṃ cāprajānatā yat tu pāpaṃ kṛtaṃ mayā //	K12D0557_H0515:415a-20	སྡིག་པ་བདག་གིས་གང་བགྱིས་པ་༎
T04sanssr_pu:3902	 aiśvaryamadamattena kulabhogamadena ca /	K12D0557_H0515:415b-0	༄༤༡༥བ་ཕྱུག་པའི་རྒྱགས་པས་དྲེགས་པ་དང་༎ རིགས་དང་ལོངས་སྤྱོད་རྒྱགས་པ་དང་༎ བཞོན་པའི་རྒྱགས་པས་དྲེགས་པ་ཡིས་༎
T04sanssr_pu:3903	 tāruṇyamadamattena yat tu pāpaṃ kṛtaṃ mayā //  duścintitaṃ duruktaṃ ca duṣkṛtenāpi karmaṇā /	K12D0557_H0515:415b-1	བདག་གིས་སྡིག་པ་གང་བགྱིས་དང༏་༏ཉེས་བསམས་ཉེས་པར་སྨྲས་པ་དང་༎ ཉེས་པར་བགྱིས་པའི་ལས་རྣམས་དང་༎ ཉེས་པའི་དམིགས་སུ་མ་བརྟས་པས་༎
T04sanssr_pu:3905	 annādīnavadarśinā yat tu pāpaṃ kṛtaṃ mayā //  bālabuddhipracāreṇa ajñānāvṛtacetasā /	K12D0557_H0515:415b-2	བདག་གིས་སྡིག་པ་གང་བགྱིས་དང་༎ བྱིས་པའི་བློ་ཡི་འཇུག་པ་དང་༎ མི་ཤེས་མུན་པའི་སེམས་དང་ནི་༎
T04sanssr_pu:3907	 pāpamitravaśāc caiva kleśavyākulacetasā //  krīḍārativaśāc caiva śokarogavaśena vā /	K12D0557_H0515:415b-3	སྡིག་པའི་གྲོགས་པོའི་དབང་གྱུར་དང་༎ ཉོན་མོངས་རྣམ་པར་འཁྲུག་སེམས་དང་༎ རྩེད་མོ་དགའ་བའི་དབང་ཉིད་དང་༎ མྱ་ངན་དང་ནི་ནད་དབང་དང་༎ ནོར་གྱིས་མི་ཆོག་ཉེས་པ་ཡིས་༎
T04sanssr_pu:3930	 vyavalokayantu māṃ buddhāḥ samanvāhṛtacetasaḥ /	K12D0557_H0515:417a-8	བདག་ལ་རྣམ་པར་གཟིགས་སུ་གསོལ་༎ ཐུགས་རྗེ་ལྡན་པའི་ཐུགས་ཀྱིས་ནི་༎
T04sanssr_pu:3932	 yat tu pāpaṃ kṛtaṃ pūrvaṃ mayā kalpaśateṣu ca /	K12D0557_H0515:417a-10	ནོངས་པ་རབ་ཏུ་གཟུང་དུ་གསོལ་༎ བདག་གིས་བསྐལ་པ་བརྒྱ་རྣམས་སུ་༎ སྔོན་ཆད་སྡིག་པ་གང་བགྱིས་པ་༎
T04sanssr_pu:3933	 tasyārthaṃ śokacitto 'haṃ krpaṇīyo bhayārditaḥ //	K12D0557_H0515:417a-13	དེ་ཕྱིར་བདག་ནི་མྱ་ངན་སེམས་༎ ཕོངས་དང་མྱ་ངན་འཇིགས་པས་གཟིར་༎
T04sanssr_pu:3934	 bhavāmi pāpakarmāṇāṃ satataṃ dīnamānasaḥ /	K12D0557_H0515:417a-15	སྡིག་པའི་ལས་ལ་འཇིགས་པར་བགྱིད་༎
