src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10sf277_sc:0	Agrajñasūtra Wal_1 bhavati sa samayo yad ayaṁ lokaḥ saṁvartate / saṁvartamāne loke yadbhūyasā satvā ābhāsvare devanikāye upapadyante / te tatra bhavanti rūpiṇo manomayā avikalā ahīnendriyāḥ	K01D0003_H0003:68b-3	འཇིག་རྟེན་འཇིག་པ་ན་། སེམས་ཅན་དག་ཕལ་ཆེར་འོད་གསལ་གྱི་ལྷའི་རིས་སུ་སྐྱེའོ་༎ དེ་དག་དེ་ནི་གཟུགས་ཅན་ཡིད་ལས་བྱུང་།
K10sf277_sc:3	sarvāṅgapratyaṁ gopetāḥ śubhā varṇasthāyinaḥ svayaṁprabhā vaihāyasagāminaḥ prītibhakṣāḥ	K01D0003_H0003:68b-6	མ་ཚང་བ་མེད་པ་། དབང་པོ་མ་ཉམས་པ་། ཡན་ལག་ཉིང་ལག་ཐམས་ཅད་དང་ལྡན་པ་། བཟང་བ་ཁ་དོག་དང་ལྡན་པ་། རང་ལས་འོད་འབྱུང་བ༏་ནམ་མཁའ་ལ་འགྲོ་བ་། དགའ་བ་ཟ་བ་།
K10sf277_sc:21	’ntarhitaḥ / andhakāro loke prādurbhūtaḥ /	K01D0003_H0003:69b-5	འཇིག་རྟེན་དུ་མུན་པ་ཡང་བྱུང་བར་གྱུར་ཏོ་༎
K10sf277_sc:0	Agrajñasūtra Wal_1 bhavati sa samayo yad ayaṁ lokaḥ saṁvartate / saṁvartamāne loke yadbhūyasā satvā	K01D0003_H0003:149a-4	འཇིག་རྟེན་འཇིག་པ་ན་སེམས་ཅན་དག་ཕལ་ཆེར་འོད་གསལ་གྱི་ལྷའི་རིས་སུ་སྐྱེའོ་༎
K10sf277_sc:3	sarvāṅgapratyaṁ gopetāḥ śubhā varṇasthāyinaḥ svayaṁprabhā vaihāyasagāminaḥ prītibhakṣāḥ	K01D0003_H0003:149a-7	ཡན་ལག་དང་ཉིད་ལག་ཐམས་ཅད་དང་ལྡན་པ་། བཟང་བ་ཁ་དོག་དང་ལྡན་པ་། རང་ལས་འོད་འབྱུང་བ་། ནམ་མཁའ་ལ་འགྲོ་བ་། དགའ་བ་ཟ་བ་།
K10sf277_sc:2	ābhāsvare devanikāye upapadyante / te tatra bhavanti rūpiṇo manomayā avikalā ahīnendriyāḥ	K01D0003_H0003:149a-5	དེ་དག་དེ་ན་གཟུགས་ཅན་ཡིད་ལས་བྱུང་བ་མ་ཚང་བ་མེད་པ་། དབང་པོ་མ་ཉམས་པ་།
K10sf277_sc:5	Wal_2 tena khalu samayena mahāpṛthivī ekodikā bhavati ekārṇavā / tasyāṁ ekodikāyāṁ mahāpṛthivyāṁ	K01D0003_H0003:149a-13	དེའི་ཚེ་ནས་ཆེན་པོ་འདི་ཆུ་འབའ་ཞིག་དང་རྒྱ་མཚོ་འབའ་ཞིག་ཏུ་གྱུར་ཏེ་། ས་ཆེན་པོ་ཆུ་འབའ་ཞིག་དང་རྒྱ་མཚོ་འབའ་ཞིག་ཏུ་གྱུར་པའི་སྟེང་དུ་རླུང་གིས་སྤྲིས་མ་ཀུན་ཏུ་འཆགས་པར་བྱེད་། ཀུན་ཏུ་འཐས་པར་བྱེད་། ཀུན་ཏུ་ཁྱབ་པར་བྱེད་དེ་།
K10sf277_sc:4	prītyāhārā dīrghāyuṣo dīrgham adhvānaṁ tiṣṭhanti /	K01D0003_H0003:149a-12	དགའ་བའི་ཟས་དང་ལྡན་པ་ཚེ་རིང་ཞིང་ཡུན་རིང་དུ་གནས་སོ་༎
K10sf277_sc:8	śaraḥ saṁmūrcchitaḥ saṁtanoti / sa bhavati pṛthivīraso varṇasaṁpanno gandhasaṁpanno	K01D0003_H0003:149a-21	ཀུན་ཏུ་འཐས་པར་བྱེད་། ཀུན་ཏུ་ཁྱབ་པར་བྱེད་དོ་༎ དེ་ནི་སའི་བཅུད་ཁ་དོག་ཕུན་སུམ་ཚོགས་པ༏་དྲི་ཕུན་སུམ་ཚོགས་པ་།
K10sf277_sc:6	ekārṇavāyāṁ vāyunā śaraḥ saṁmūrcchitaḥ saṁtanoti tadyathā pakvasya kṣīrasya śaraḥ	K01D0003_H0003:149a-17	འདི་ལྟ་སྟེ་དཔེར་ན་། འོ་མ་བསྐོལ་བ་གྲང་བར་གྱུར་པའི་སྟེང་དུ་རླུང་གིས་སྤྲིས་མ་ཀུན་ཏུ་འཆགས་པར་བྱེད་། ཀུན་ཏུ་འཐས་པར་བྱེད་། ཀུན་ཏུ་ཁྱབ་པར་བྱེད་པ་དེ་བཞིན་དུ་ས་ཆེན་པོ་ཆུ་འབའ་ཞིག་དང་རྒྱ་མཚོ་འབའ་ཞིག་ཏུ་གྱུར་པའི་སྟེང་དུ་ཡང་རླུང་གིས་སྤྲིས་མ་ཀུན་ཏུ་འཆགས་པར་བྱེད་།
