src_segmentnr	src_original	tgt_segmentnr	tgt_original
T07D4094-1:140a-10	གཟུགས་ཅན་མ་ཡིན་པའི་ཕུང་པོ་བཞི་སྟེ་།	T15n0614_002:0283a18_8	無色四分：
T07D4094-1:140a-11	ཚོར་བའི་ཕུང་པོ་དང་། འདུ་ཤེས་ཀྱི་ཕུང་པོ་དང་། འདུ་བྱེད་ཀྱི་ཕུང་པོ་དང་། རྣམ་པར་ཤེས་པའི་ཕུང་པོའོ་༎	T15n0614_002:0283a18_20	痛、想、行、識，是謂名。
T07D4094-1:140a-12	གཟུགས་གང་ཞེ་ན་།	T15n0614_002:0283a19_1	云何為色？
T07D4094-1:140a-13	གཟུགས་གང་ཅི་ཡང་རུང་བ་དེ་ཐམས་ཅད་ནི་འབྱུང་བ་ཆེན་པོ་བཞི་དག་དང་། འབྱུང་བ་ཆེན་པོ་བཞི་དག་རྒྱུར་བྱས་པ་སྟེ་།	T15n0614_002:0283a19_14	一切色四大及造色，是謂色。 云何四大？
T07D4094-1:140a-15	མིང་དང་གཟུགས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་མཆེད་དྲུག་ཅེས་འབྱུང་བ་སྐྱེ་མཆེད་དྲུག་གང་ཞེ་ན་།	T15n0614_002:0283a23_1	名色因緣六入。 云何六入？
T07D4094-1:140a-16	ནང་གི་སྐྱེ་མཆེད་དྲུག་སྟེ་།	T15n0614_002:0283a23_10	內六入：
T07D4094-1:140a-6	འདུ་བྱེད་ཀྱི་རྐྱེན་གྱིས་རྣམ་པར་ཤེས་པ་ཞེས་འབྱུང་བ་རྣམ་པར་ཤེས་པ་གང་ཞེ་ན་།	T15n0614_002:0283a16_11	行因緣識。 云何名識？
T07D4094-1:140a-7	རྣམ་པར་ཤེས་པའི་ཚོགས་དྲུག་སྟེ་།	T15n0614_002:0283a17_1	六種識界：
T07D4094-1:140a-8	མིག་གི་རྣམ་པར་ཤེས་པ་དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའོ་།	T15n0614_002:0283a17_13	眼識乃至意識，是名六識。
T07D4094-1:140a-9	རྣམ་པར་ཤེས་པའི་རྐྱེན་གྱིས་མིང་དང་གཟུགས་ཞེས་བྱུང་བ་མིང་གང་ཞེ་ན་།	T15n0614_002:0283a18_3	識因緣名色，云何為名？
