src_segmentnr	src_original	tgt_segmentnr	tgt_original
T06asmahsuu:1093	 tatstho hi mahācalendrastha iva dūrāntaranikṛṣṭaṃ lokaṃ paśyati /	T06D4020:9a-20	དེ་བཞིན་གཤེགས་པ་དེ་ནི་དེར་བཞུགས་ནས་༎ རི་དབང་མཐོ་སྟེང་བཞུགས་བཞིན་འགྲོ་ལ་གཟིགས་༎
T06asmahsuu:1095	 pravṛttirūdvittiravṛttirāśrayo nivṛttirāvṛttiratho dvayādvayā /	T06D4020:9a-24	གནས་ལ་འཇུག་དང་རབ་འཇུག་མི་འཇུག་དང་༎ ལྡོག་དང་ཀུན་འཇུག་གཉིས་དང་མི་གཉིས་དང་༎ མཉམ་དང་ཁྱད་འཕགས་ཀུན་འགྲོའི་བདག་ཉིད་ནི་༎
T06asmahsuu:1096	 samāviśiṣṭā api sarvagātmikā tathāgatānāṃ parivṛttiriṣyate // Msa_9.14 //	T06D4020:9a-25	དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཡོངས་གྱུར་འདོད་༎
T06asmahsuu:1107	 balavaiśāradyādibhiḥ buddhadharmairasamatvādviśiṣṭā vṛttiḥ /  sarvayānopadeśagatatvātsarvagatāvṛttiḥ /  (MSA_Bagchi 40)  ākāśasādharmyeṇauddeśanirdeśataḥ pūrvāparārdhābhyām /	T06D4020:9a-28	ཇི་ལྟར་ནམ་མཁའ་གཟུགས་གྱུར་ཀུན་དུ་སོང་༎
T06asmahsuu:1115	 yathodabhājane bhinne candrabimbaṃ na dṛśyate /	T06D4020:9a-30	ཇི་ལྟར་ཆུ་ཡི་སྣོད་ཆག་ན་༎ ཟླ་བའི་གཟུགས་བརྙན་མི་༄༩བ་སྣང་བ་༎
T06asmahsuu:1116	 tathā duṣṭeṣu sattveṣu buddhabimbaṃ na dṛśyate // Msa_9.16 //  anena pañcamena sarvagatatve 'pyabhājanabhūteṣu sattveṣu abuddhabimbadarśanaṃ dṛṣṭāntena sādhayati /	T06D4020:9b-1	དེ་བཞིན་སེམས་ཅན་ངན་པ་ལ་༎ སངས་རྒྱས་གཟུགས་ཀྱང་མི་སྣང་ངོ་༎
T06asmahsuu:1118	 yathāgnirjvalate 'nyatra punaranyatraśāmyati /	T06D4020:9b-3	ཇི་ལྟར་མེ་ནི་གཞན་དུ་འབར་༎ གཞན་དུ་ཞི་བར་འགྱུར་བ་ལྟར་༎
T06asmahsuu:1119	 buddheṣvapi tathā jñeyaṃ saṃdarśanamadarśanam // Msa_9.17 //	T06D4020:9b-5	དེ་བཞིན་སངས་རྒྱས་རྣམས་ལ་ཡང་༎ སྣང་དང་མི་སྣང་ཤེས་པར་བྱ་༎
T06asmahsuu:1124	 tathā jine vinābhogaṃ deśanāyāḥ samudbhavaḥ // Msa_9.18 //	T06D4020:9b-9	དེ་བཞིན་རྒྱལ་བ་གཟོ་མེད་པར་༎ བཤད་པ་དག་ནི་ཀུན་དུ་འབྱུང་༎
T06asmahsuu:1125	 yathā maṇervinā yatnaṃ svaprabhāva[sa]nidarśanam /	T06D4020:9b-11	ཇི་ལྟར་ནོར་བུ་འབད་མེད་པར་༎ རང་གི་འོད་ནི་སྟོན་པ་ལྟར་༎
